if father deceased,MOTHER_IDENTITY,father's forename,death code A,father's occupation,month,FATHER_BIRTH_RECORD_IDENTITY,mar,year,SPOUSE_BIRTH_RECORD_IDENTITY,occupation,mother's occupation,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,father's surname,day,marital status,death code B,Birth,forename(s) of deceased,if mother deceased,age at death,FATHER_IDENTITY,mother's forename,SPOUSE_MARRIAGE_RECORD_IDENTITY,mother's maiden surname,name of spouse,SPOUSE_IDENTITY,spouse's occ,death code C,address,sex,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes1,DECEASED_IDENTITY,surname of deceased
,3216,William,I64.01,,MARCH,3215,842,1885,3208,WASHER,,3209,843,Dordevic,21,W,G83.90,3209,Kristin,,70,3215,Aada,842,,Diogo Petrauskas,3208, ,,"1 Malvina Place, North Muirton, Perth and Kinross",F,3209,3216,SYNTHETIC DATA PRODUCED USING VALIPOP,3209,Duarte
,2426,Thomas,G83.90,,JULY,2425,716,1891,2128,SHERIFF OFFICER,,2429,617,Jones,30,M,,2429,Olivier,,68,2425,Ana,716,Ursu,Maria Delic,2128,WINDER,,"1 St Margaret's Drive, West End, Hawick",M,2429,2426,SYNTHETIC DATA PRODUCED USING VALIPOP,2429,Jones
,3378,Sander,R54.05,,JULY,3377,883,1901,3367,WRITER IN GLASGOW,,3366,885,Jovanovic,24,M,,3366,Vytautas,,77,3377,Javiera,883,,Hannah Knezevic,3367,FARMER OF 132 ACRES EMPLOYING 3 MEN,,"1 Underbank, Largs, North Ayrshire",M,3366,3378,SYNTHETIC DATA PRODUCED USING VALIPOP,3366,Nguyen
,3551,Kenta,R99.01,,NOVEMBER,3550,936,1903,3547,RETIRED ACCOUNTANT,,3546,937,Bouchard,4,M,,3546,Elias,,80,3550,Lea,936,,Catherine Ceban,3547, ,,"1 Oakdene Court, Culloden, Highland",M,3546,3551,SYNTHETIC DATA PRODUCED USING VALIPOP,3546,Kiss
D,1290,William,A16.91,,MARCH,1053,,1858,,PLOUGHMAN,,2143,467,Larsson,6,B,,2143,John,,33,1053,Isabella,,WILLIAMS,,,,,"2 Old St. Andrews Road, Rummond, Fife",M,2143,1290,SYNTHETIC DATA PRODUCED USING VALIPOP,2143,Larsson
,1556,John,J98.90,,OCTOBER,1405,,1863,,HOUSE PAINTER,,2151,515,Visser,20,B,,2151,James,D,39,1405,Mary,,Martinez,,,,,"1 Greenhead Street, South Ayrshire",M,2151,1556,SYNTHETIC DATA PRODUCED USING VALIPOP,2151,Visser
,2370,Benjamin,I51.90,,JANUARY,2369,900,1875,2388,RAILWAY LAB & SPIRIT DEALER,,2373,601,Paulauskas,31,M,,2373,Marlon,,50,2369,Sophie,900,Perez,Catherine Sepp,2388,TEACHER,,"1 Blyth Farm Road, Scotstonrig, Scottish Borders",M,2373,2370,SYNTHETIC DATA PRODUCED USING VALIPOP,2373,Paulauskas
D,2462,Sergio,J42.00,,OCTOBER,2461,,1875,,QUAY LBAOURER,,2466,629,Brown,29,missing,,2466,Gunnaah,D,51,2461,Mia,,Bonik,,,,,"1 Monroe Drive, Calderbraes, North Lanarkshire",M,2466,2462,SYNTHETIC DATA PRODUCED USING VALIPOP,2466,Br9wn
D,2488,Artjom,A16.96,,NOVEMBER,2487,717,1878,2202,PRIVATE WATCHMAN,,2491,636,Soto,10,M,,2491,Tyler,D,54,2487,Ellie,717,Angelov,Elizabeth Fernandez,2202, ,,"1 Weensmoore, Scottish Borders",M,2491,2488,SYNTHETIC DATA PRODUCED USING VALIPOP,2491,Soto
,3246,Aaron,K76.90,,AUGUST,3245,863,1878,2386,SAWYER,,3248,853,Kovalchuk,1,M,,3248,Connor,D,54,3245,Anna,863,Kavaliauskas,Mary Sanchez,2386,FARMER'S WIFE,,"1 Erroll Street, Roanheads, Peterhead",M,3248,3246,SYNTHETIC DATA PRODUCED USING VALIPOP,3248,Kovalchuk
D,1472,William,K35.20,,JUNE,1370,732,1865,2154,LINNEN WEAVER,,2175,507,Visser,9,M,K65.90,2175,Alexander,D,40,1370,Jane,732,Fernandez,Mary Fernandez,2154,GENERAL SERV,,"1 Allan's Hill, Maybole, South Ayrshire",M,2175,1472,SYNTHETIC DATA PRODUCED USING VALIPOP,2175,Visser
D,1637,William,A16.91,,JULY,1341,625,1885,1793, ,,1908,451,Garcia,1,W,,1908,Elizabeth,D,71,1341,Maria,625,Rivera,Alexander de Boer,1793,SAILOR,,"1 Clenoch Parks Road, Stranraer, Dumfries and Galloway",F,1908,1637,SYNTHETIC DATA PRODUCED USING VALIPOP,1908,Garcia
D,1508,Will,J18.90,,DECEMBER,1111,,1865,,LABOURER,,2177,546,Schroeder,17,B,,2177,John,D,40,1111,Annie,,Popa,,,,,"1 Park Avenue, Belhaven, Dunbar",M,2177,1508,SYNTHETIC DATA PRODUCED USING VALIPOP,2177,Schroeder
,2605,Bjorn,I51.90,,SEPTEMBER,2604,742,1865,2180,JOBBING GARDENER,,2606,671,Guo,22,M,,2606,James,,40,2604,Maria,742,,Isabella Fernandez,2180,MUSLIN SEWER,,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",M,2606,2605,SYNTHETIC DATA PRODUCED USING VALIPOP,2606,Guo
,3038,Mantas,J42.00,,JULY,3037,792,1885,3035,PLASTER,,3034,793,Prochazka,5,M,J45.90,3034,Joshua,,60,3037,Katarzyna,792,,Milana Ozturk,3035,COAL MINER'S WIFE,,"221 Mansionhouse Road, Mount Vernon, Glasgow City",M,3034,3038,SYNTHETIC DATA PRODUCED USING VALIPOP,3034,Green
,3179,Florian,R99.01,,OCTOBER,3178,901,1886,2382,CROFTER,,3180,834,Boykohighlanders),7,W,,3180,Aaron,,61,3178,Carolina,901,,Mary Fernandez,2382, ,,"1 Dalmarnock, Glasgow City",M,3180,3179,SYNTHETIC DATA PRODUCED USING VALIPOP,3180,Boykohighlanders)
D,1580,Patrick,G83.90,,NOVEMBER,1555,,1888,,CROFTER,,2207,528,Prochazka,18,B,R53.03,2207,James,D,62,1555,Elspet,,DAVISON,,,,,"42 Ard Struan Road, Highland",M,2207,1580,SYNTHETIC DATA PRODUCED USING VALIPOP,2207,Prochazka
,1620,William,J42.00,,JUNE,1619,,1888,,AG LAB,,2209,555,Sanchez,28,B,,2209,William,D,62,1619,Mary,,Fernandez,,,,,"1 The Holmes, Scottish Borders",M,2209,1620,SYNTHETIC DATA PRODUCED USING VALIPOP,2209,Sanchez
D,1626,Alexander,C16.90,,SEPTEMBER,1443,782,1893,2865,LABOURER (GENERAL),,2211,535,Fernandez,16,M,,2211,James,D,67,1443,Ann,782,Schroeder,Guorun Jones,2865,PAUPER (FORMERLY SERV),,"1 Darley Place, Troon, South Ayrshire",M,2211,1626,SYNTHETIC DATA PRODUCED USING VALIPOP,2211,Fernandez
,3339,Matthew,I64.01,,JULY,3338,874,1896,3331,CORN MILLER & FARMER 27 ACRES,,3330,875,Bandara,23,M,,3330,Ryan,,69,3338,Ana,874,,Aada Rodriguez,3331,YARN WINDER,,"1 Verona Place, Ardrossan, North Ayrshire",M,3330,3339,SYNTHETIC DATA PRODUCED USING VALIPOP,3330,White
,2312,Rasmus,A16.93,,OCTOBER,2311,831,1860,2278,LABOURER (DRAINER),,2314,582,Hernandez,30,M,,2314,Ethan,,33,2311,Catarina,831,Rivera,Mary Fernandez,2278,WOOD CUTTER'S WIFE,,"1 Woodhead Avenue, Kirkfield, Bothwell",M,2314,2312,SYNTHETIC DATA PRODUCED USING VALIPOP,2314,Hernandez
D,1680,Luis,K76.90,,APRIL,2187,756,1871,2810,MARKET GARDENER,,2257,568,Harutyunyan,17,R,R53.03,2257,Adam,,42,2187,Diana,756,Mertens,Thea Larsson,2810, ,,"1591 Castle Road, South Ayrshire",M,2257,1680,SYNTHETIC DATA PRODUCED USING VALIPOP,2257,Harutyunyan
D,1516,Alexander,M79.00,,OCTOBER,1211,624,1887,2240, ,,1902,409,WILLIAMS,28,W,I61.90,1902,Elizabeth,D,73,1211,Nicole,624,Markovic,Tyler Szabo,2240,PAP MILL ENGINE RAG WASHER,,"734 Golf Course Road, Girvan, South Ayrshire",F,1902,1516,SYNTHETIC DATA PRODUCED USING VALIPOP,1902,WILLIAMS
,1774,James,A16.96,,SEPTEMBER,1743,797,1871,2702,FARMER OF 120 AC EMPLOY 2 MEN 2 BOYS,,2259,569,Rivera,30,M,,2259,John,,42,1743,Janet,797,Jones,Mia Rodriguez,2702, ,,"38 Raonmor, Highland",M,2259,1774,SYNTHETIC DATA PRODUCED USING VALIPOP,2259,Rivera
D,1524,James,J11.10,,MAY,1411,795,1893,2465,SILK LAB DYER,,2281,573,STEWART,31,M,,2281,John,D,63,1411,Jane,795,Markovic,Olivia Brown,2465, ,,"1 Pairc Uilleim, Highland",M,2281,1524,SYNTHETIC DATA PRODUCED USING VALIPOP,2281,STEWART
,1600,Ethan,R80.01,,NOVEMBER,1634,822,1894,2552,KEEPER OF CATTLE,,2283,502,Rivera,24,W,,2283,David,,64,1634,Christina,822,GOODWIN,Ana Novak,2552, ,,"1 Blair Street, Little Richorn, Dalbeattie",M,2283,1600,SYNTHETIC DATA PRODUCED USING VALIPOP,2283,Rivera
D,2312,Rasmus,G83.90,,AUGUST,2311,849,1894,3158,AG LAB,,2313,582,Hernandez,24,M,,2313,Filip,D,65,2311,Catarina,849,Rivera,Aada Morozov,3158, ,,"1 Earlsmeadow, St Mary's, Duns",M,2313,2312,SYNTHETIC DATA PRODUCED USING VALIPOP,2313,Hernandez
,2525,Horvat,R53.03,,NOVEMBER,2527,755,1894,2398,missing,,2528,,Jack,4,M,,2528,Joshua,missing,64,2527,missing,755,Popa,Sara Green,2398,LINEN WEAVER,,"2 Smiddy Park, Aberdeenshire",M,2528,2525,SYNTHETIC DATA PRODUCED USING VALIPOP,2528,Horvat
D,2748,Tyler,R99.01,,NOVEMBER,2747,789,1900,2414,COACHMAN,,2754,710,Flores,18,W,,2754,Isaac,D,71,2747,Nahia,789,Dang,Georgina CONLLY,2414,GROCER'S WIFE,,"1 Garnock Street, Dalry, North Ayrshire",M,2754,2748,SYNTHETIC DATA PRODUCED USING VALIPOP,2754,Flores
D,2858,Piotr,R68.85,,JULY,2857,939,1902,2638,FARMER 100 ACRES OF ARABLE & 600 OF HILL PASTIME,,2864,744,Jones,5,D,,2864,Pablo,D,72,2857,Sara,939,Mayer,Catherine Paulauskas,2638,EATING HOUSE KEEPER,,"3 Heugh, Scottish Borders",M,2864,2858,SYNTHETIC DATA PRODUCED USING VALIPOP,2864,Jones
D,2647,Daniel,A16.96,,MARCH,2646,892,1885,2751,LABOURER,,2653,684,Rojas,12,R,,2653,Matthew,D,54,2646,Siiri,892,Gospodinov,Janice Flores,2751,WASHER,,"1 Hayhill, Craigie, Ayr",M,2653,2647,SYNTHETIC DATA PRODUCED USING VALIPOP,2653,Rojas
,2983,Michael,A16.96,,FEBRUARY,2982,976,1885,2450,GRAIN STORE KEEPER,,2977,777,Wilson,28,R,,2977,Jeffrey,,54,2982,Ana,976,,Anne Thill,2450,BOOT BINDER,,"1 Rathad na Horgh, Na h-Eileanan Siar",M,2977,2983,SYNTHETIC DATA PRODUCED USING VALIPOP,2977,Greco
,1600,Ethan,A16.93,,JANUARY,1634,,1857,,SHOEMAKER JO,,2331,502,Rivera,21,M,,2331,Robert,,25,1634,Christina,,GOODWIN,,,,,"55 The Hawthorns, Dumfries and Galloway",M,2331,1600,SYNTHETIC DATA PRODUCED USING VALIPOP,2331,Rivera
,3057,Tamas,J20.91,,JULY,3056,,1867,, ,,3058,798,Olsson,7,S,,3058,Maria,,50,3056,Lisandra,,,,,,,"1 Lochview Drive, Hogganfield, Glasgow City",F,3058,3057,SYNTHETIC DATA PRODUCED USING VALIPOP,3058,Olsson
D,1722,James,W74.00,,FEBRUARY,1739,,1857,,JOINER JOURNEYMAN,,2337,589,Williams,4,B,,2337,Thomas,,25,1739,Hellen,,White,,,,,"1 Grant Place, Claggan, Highland",M,2337,1722,SYNTHETIC DATA PRODUCED USING VALIPOP,2337,Williams
,2551,Adam,I38.01,,NOVEMBER,2553,739,1888,2083,WHITE FISHER,,2554,657,Martinez,19,M,I35.10,2554,Noah,D,56,2553,Regina,739,Chin,Martina Rasmussen,2083,FISH SELLER,,"1 Clearways Lane, Argyll and Bute",M,2554,2551,SYNTHETIC DATA PRODUCED USING VALIPOP,2554,Martinez
D,2748,Tyler,J18.90,,MARCH,2747,830,1892,2078,HERRING FISHERMAN,,2753,710,Flores,24,W,,2753,Dovydas,D,61,2747,Nahia,830,Dang,Margaret Delic,2078,COTTON WEAVER,,"2 Bracklinn Road, Drumardoch Farm, Callander",M,2753,2748,SYNTHETIC DATA PRODUCED USING VALIPOP,2753,Flores
D,2858,Piotr,G83.90,,MARCH,2857,824,1893,2538,FARMER OF 6 ACRES,,2863,744,Jones,20,R,,2863,Samuel,D,61,2857,Sara,824,Mayer,Kate Bolkvadze,2538,LINEN WEAVER,,"1 Cairnhill Place, South Ayrshire",M,2863,2858,SYNTHETIC DATA PRODUCED USING VALIPOP,2863,Jones
,3737,Yusuf,I50.90,,OCTOBER,3736,987,1894,3726,SHEPHERD,,3725,989,Vukovic,9,M,J20.91,3725,Aaron,,62,3736,Lisa,987,,Marie Bolkvadze,3726,HOUSE KEEPER,,"1 Blaeloch Drive, Simshill, Glasgow City",M,3725,3737,SYNTHETIC DATA PRODUCED USING VALIPOP,3725,Schroeder
,4171,Enzo,W74.00,,JUNE,4170,,1894,,COTTON WEAVER,,4172,1113,Metodiev,19,B,,4172,Kenta,,62,4170,Jade,,,,,,,"61 Reid Road, North Bishopbrae, Bathgate",M,4172,4171,SYNTHETIC DATA PRODUCED USING VALIPOP,4172,Metodiev
,1556,John,A16.93,,JULY,1405,763,1881,2086,AG LAB,,2361,515,Visser,6,W,,2361,Guiseggio,D,48,1405,Mary,763,Martinez,Camille Davidov,2086,FARMER'S WIFE,,"49 Whitehaugh Park, Kittlegairy Estate, Peebles",M,2361,1556,SYNTHETIC DATA PRODUCED USING VALIPOP,2361,Visser
D,1602,Ryan,I64.01,,MARCH,1633,856,1892,2282,PLOUGHMAN,,2363,547,Rivera,30,M,,2363,John,D,59,1633,Ann,856,Bolkvadze,Agnes Bianchi,2282, ,,"1 Castle Street, Stranraer, Dumfries and Galloway",M,2363,1602,SYNTHETIC DATA PRODUCED USING VALIPOP,2363,Rivera
D,1836,Samuel,A16.91,,SEPTEMBER,1673,,1892,,LABOURER,,2367,599,Smith,26,M,,2367,Hugh,,60,1673,Jeannie,,Schroeder,,,,,"1 Plainfield Terrace, Monksford House, Scottish Borders",M,2367,1836,SYNTHETIC DATA PRODUCED USING VALIPOP,2367,Smith
,2370,Benjamin,J45.90,,DECEMBER,2369,812,1898,2232,AG LAB,,2371,601,Paulauskas,18,W,,2371,Isak,D,66,2369,Sophie,812,Perez,Mary Rivera,2232,FARMER'S WIFE,,"1 Riverside Gardens, Dumfries and Galloway",M,2371,2370,SYNTHETIC DATA PRODUCED USING VALIPOP,2371,Paulauskas
,1302,Samuel,R99.01,,FEBRUARY,1321,707,1867,1863, ,,1944,468,Thill,22,M,,1944,Ann,D,50,1321,Margaret,707,Popa,John de Boer,1863,BRICK W LABOURER,,"1 Station Terrace, Scotstoun, Kirkliston",F,1944,1302,SYNTHETIC DATA PRODUCED USING VALIPOP,1944,Thill
