surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Novak,2550,,OCTOBER,B,3032,,2737,Margaret,1877,2737,2915,"1 Muir Road, Welltree, Fife",Novak,Chin,Anderson,9,,Anderson,2737,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",2412,,2915,28,Regina,18,FISHERMAN,Benjamin,SEAMAN MERCHANT SERVICE,John,2550,971,LAND STEWARD,Tim,Rivera,3032,Margaret,2551,Braeleny Farm Callander ,3032,SCHOLAR,S,2412,2551
Larsson,1799,,1,B,3136,,2929,Isabella,1877,2929,2977,"1 Douglas Gardens, Annan, Dumfries and Galloway",Larsson,WILLIAMS,Greco,AUGUST,,Greco,2929,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Martin Terrace, Aberdeenshire",2978,,2977,missing,Jam,16,LABOURER DOCK,Jeffrey,A B SEAMAN,Alexander,1799,972,LABOURER,Daniel,Molnar,3136,Isabella,1942,Highland,3136,SCHOLAR,B,2978,1942
Babic,4393,,DECEMBER,B,6358,,6043,Margaret,1971,6043,5453,"1 Blackpark View, Stranraer, Dumfries and Galloway",Babic,Visser,Iliev,22,,Iliev,6043,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Stewart Cottages, Aberdeenshire",5392,,5453,24,Agnes,16,FARMER'S SON,Joseph,COAL MINER,Edward,4393,2072,RAILWAY PORTER,Robert,Dumitru,6358,Jane,5186,Dumfries and Galloway,6358,SCHOLAR,S,5392,5186
Greco,2982,,APRIL,W,2450,,2977,Mary,1878,2977,1480,"1 Martin Terrace, Aberdeenshire",Wilson,,Thill,26,,Thill,2977,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Butterhall, Scottish Borders",1796,,1480,46,Ana,41,LABOURER,John, ,Jeffrey,2982,976,CARTER,Michael,Martinez,2450,Anne,2983,Na h-Eileanan Siar,2450,BOOT BINDER,W,1796,2983
COWLEY,1669,,JULY,B,3157,,2733,Irena,1878,2733,3153,"2 Mid Lane, Perth and Kinross",COWLEY,Schroeder,Morozov,9,,Morozov,2733,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hill Park, Haugh, Highland",3154,,3153,30,Mary,35,AGRICULTURAL LABOURER F S,William,MILLWRIGHT,James,1669,977, ,William,,3157,Beatriz,1768,Highland,3157, ,S,3154,1768
Fernandez,1697,,AUGUST,B,2768,,2691,Elizabeth,1878,2691,1793,"1 Jean Lawrie Court, Lessudden House, Scottish Borders",Fernandez,Brown,de Boer,12,,de Boer,2691,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Clenoch Parks Road, Stranraer, Dumfries and Galloway",1908,,1793,32,Moe,29,PLOUGHMAN,Alexander,QUAY LABOURER,Thomas,1697,978,SAILOR,Robert,Garcia,2768,Mary,2089,South Ayrshire,2768,ENGINE KEEPER WIFE,S,1908,2089
Schroeder,1811,,SEPTEMBER,D,3399,,2669,Ava,1878,2669,3395,"2 Weensmoore, Scottish Borders",Schroeder,Davidov,Liepins,3,,Liepins,2669,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Craigskeen Place, Heathfield, Prestwick",3396,,3395,36,Camille,31,POLICE CONSTABLE,Dylan,MISSIONARY,William,1811,979, ,John,,3399,Sarah,2086,Girvan South Ayrshire,3399,FARMER'S WIFE,S,3396,2086
Lopez,2889,,OCTOBER,B,2798,,2891,Jessie,1878,2891,2157,"1 Langlaw Road, Woodburn, Mayfield",Lopez,Perera,Celik,27,,Celik,2891,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Calfward Park, Allanbank, Lauder",2024,,2157,28,Alba,27,LITHOGRAPHIC ARTIST,David,WOOL SCOURER,Lukas,2889,980,LABOURER IN A POTTERY,Matthew,Larsen,2798,Annie,2890,Dalry North Ayrshire,2798,THREAD MILL WORKER,D,2024,2890
Rodriguez,2703,,JUNE,B,2981,,3051,Isabella,1878,3051,2977,"33 Gordon Brown Place, Highland",Rodriguez,Rivera,Greco,27,,Greco,3051,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Martin Terrace, Aberdeenshire",2978,,2977,19,Mary,26, ,Jeffrey,LABOURER,James,2703,981,LABOURER,Robin,Molnar,2981,Kristyna,2340,Bridge of Don Aberdeen City,2981,DOMESTIC SERVANT,S,2978,2340
Garcia,1865,,FEBRUARY,B,2854,,2849,Ellen,1878,2849,2374,"571 Moss Road, Scottish Borders",Garcia,Mertens,Paulauskas,16,,Paulauskas,2849,SYNTHETIC DATA PRODUCED USING VALIPOP,"153 Torwoodhill Road, Argyll and Bute",2122,,2374,25,Catherine,25,LABOURER,Antanas,AG LABOURER,Walter,1865,982,FARMER OF 93 ACRES,Richard,Markovic,2854,Mary,1900,Girvan South Ayrshire,2854,DOMESTIC SER,S,2122,1900
Fernandez,2211,,SEPTEMBER,B,2996,,3049,Michela,1878,3049,2317,"1 Darley Place, Troon, South Ayrshire",Fernandez,Jones,Hernandez,10,,Hernandez,3049,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Orchard Park, Lessudden House, Scottish Borders",2428,,2317,18,Guorun,20,SCHOLAR,Alexander,RAILWAY POINTSMAN,James,2211,983,CHYMNEY SWEEP,James,Jones,2996,Agnes,2865,South Ayrshire,2996,SALSE WOMAN,S,2428,2865
Brankov,2214,missing,JUNE,B,3136,,2993,Isapella,1878,2993,2977,"1 Coplandhill, Aberdeenshire",Branov,Virtanen,Greco,26,,Greco,2993,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kincorth, Aberdeen City",2978,,2977,24,Emma,18,STONE DRESSER,Jeffrey,COTTON WEAVER,Bartholomew,2214,984,LABOURER,Andrej,Molnr,3136,Isabella,2613,Buailledubh Na h-Eileanan Siar,3136,SCHOLAR,D,2978,2613
Soto,2495,,NOVEMBER,B,2384,,2695,Elizabeth,1879,2695,1699,"106 Courthill Street, Dalry, North Ayrshire",Soto,Grech,Bolkvadze,5,,Bolkvadze,2695,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Milton Wynd, South Ayrshire",1618,,1699,33,Jane,43,MASON,James,TAILOR,Andrew,2495,990,LABOURER,Michael,WILLIAMS,2384,Jane,1948,Braehouse Scottish Borders,2384, ,S,1618,1948
Harutyunyan,4711,,8,B,6364,,6081,Catherine,1971,6081,5247,"481 Low Road, Highland",Harutyunyan,Hernandez,James,FEBRUARY,,Sanchez,6081,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Wooden, Scottish Borders",5502,,5247,q5,Ann,18,IRON MINOR,Sanchez,SPADE MANUFACTURER EMPLOYING 4 MEN AND 3 BOYS,George,4711,2073,ACTOR,Peter,Wozniak,6364,Margd,5054,South Ayrshire,6364,SCHOLAR,M,5502,5054
Giorgadze,1938,,FEBRUARY,B,2381,,2573,Annie,1879,2573,1111,"1 Ormiston Mains, Scottish Borders",Giorgadze,Brown,Schroeder,24,,Schroeder,2573,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Park Avenue, Belhaven, Dunbar",1508,,1111,36,Mariana,43,TEACHER,Will,FARMER OF 6 ACRES,Walter,1938,991,GROCER,William,Popa,2381,Mary,2088,Calton Campbeltown ,2381,FARM SERVANT,S,1508,2088
Soto,2493,,JUNE,B,2988,,3001,Isabella,1879,3001,1791,"1 Whinnyhouse, Scottish Borders",Soto,Sanchez,Harutyunyan,29,,Harutyunyan,3001,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Hope Street, Blackhouse, Peterhead",1946,,1791,22,Maggie,22,DRUGGIST SHOPMAN,George,CROFTER OF 8 ACRES,Peter,2493,992,DRUGGIST PORTER,Daniel,Markovic,2988,Maggie,2256,Highland,2988,FARMER'S DAUR,S,1946,2256
Harutyunyan,2257,,JANUARY,B,3000,D,2907,Jane,1879,2907,1905,"1591 Castle Road, South Ayrshire",Harutyunyan,Larsson,Larsson,1,,Larsson,2907,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Bracklinn Road, Drumardoch Farm, Callander",2230,,1905,24,Thea,21,SHIP WRIGHT,William,MARKET GARDENER,Francis,2257,993,SCAFANGER,Adma,Markovic,3000,Polly,2810,Scaurs Jedburgh ,3000,DOMESTIC SERVANT,S,2230,2810
Anderson,2915,,SEPTEMBER,B,3332,,3113,Aada,1879,3113,3330,"1 Haughead, Scottish Borders",Anderson,Rivera,White,18,,White,3113,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Haughead, Scottish Borders",3331,,3330,23,Margaret,23,ENGINE KEEPER WORKS AT COAL PIT,Ryan,LAND STEWARD,Robert,2915,994,WOOD SAWYER,Benjamin,Toth,3332,Ruby,2412,,3332,COTTON POWE LOOM WEAVER,S,3331,2412
Soto,2491,,JUNE,B,3074,,2883,Janet,1879,2883,2055,"1 Weensmoore, Scottish Borders",Soto,Fernandez,Kristiansen,26,,Kristiansen,2883,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gearraidh Gadhal, Na h-Eileanan Siar",2102,,2055,24,Elizabeth,17,ENGINEER FINISHER,Robert,PRIVATE WATCHMAN,Willia,2491,995,LABOURER IRON WORK,Tyler,Rossi,3074,Ann,2202,South Ayrshire,3074,SCHOLAR,S,2102,2202
Rivera,2259,,FEBRUARY,B,3266,,3055,Jane,1879,3055,2463,"1 Broad Lane, Moray",Rivera,Rodriguez,Brown,11,,Brown,3055,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Broad Lane, Moray",2534,,2463,23,Mia,16,PLOUGHMAN,Harry,FARMER OF 120 AC EMPLOY 2 MEN 2 BOYS,James,2259,996,CALICO PRINTER (JOURY),John,Hernandez,3266,Mathilda,2702,,3266, ,S,2534,2702
Guo,2606,,NOVEMBER,B,3511,,2855,Ella,1879,2855,3509,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",Guo,Fernandez,Shala,6,,Shala,2855,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Inverpeffer, Angus",3510,,3509,29,Isabella,16,NORMAL STUDENT,Sebastian,JOBBING GARDENER,Murdo,2606,997, ,James,,3511,Sofia,2180,Borrowfield Montrose ,3511, ,S,3510,2180
Lavoie,2547,,MARCH,B,2204,,2549,Jane,1880,2549,1370,"1 Hospitalfield, Angus",Lavoie,,Visser,7,,Visser,2549,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hospitalfield, Angus",1472,,1370,46,Guorun,53,GROCER AND SPIRIT MERCHANT,William, ,Connor,2547,1003,FISHER,Alex,Fernandez,2204,Maggie,2548,,2204,INVALID,S,1472,2548
Ibahoy,3566,,APRIL,B,2202,,3570,Mary,1880,3570,1749,"1 Easthill, Perth and Kinross",Ibahoy,Sanchez,Fernandez,30,,Fernandez,3570,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Weensmoore, Scottish Borders",1446,,1749,39,Aada,53, ,Alexander,FARMER,Ethan,3566,1004,CLOCK AT LINEN BLEACHFIELD,Kaito,CARRUTHERS,2202,Elizabeth,3567,Cellardyke Fife,2202, ,W,1446,3567
Green,3034,,MAY,B,2749,,3036,Nahia,1880,3036,2747,"1 Old Edinburgh Road, Dumfries and Galloway",Green,Horvath,Flores,27,,Flores,3036,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Old Edinburgh Road, Dumfries and Galloway",2748,,2747,26,Milana,39,H L LINEN WEAVER,Tyler,PLASTER,Joao,3034,1006,MARINER,Joshua,Dang,2749,Lea,3035,,2749, ,W,2748,3035
Larsson,4895,,OCTOBER,B,5898,,6007,Jane,1972,6007,4709,"1 Mill Way, Brora, Highland",Larsson,Bogdanov,Larsson,24,,Larsson,6007,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Kirkton Gardens, Highland",4874,,4709,26,Giovanna,29,A B SEAMAN,Arthur,BUTCHER,Donald,4895,2080,FARMER OF 950 ACRES EMPLOYING 7 LABOURERS,Donald,Tkachenko,5898,Agnes,5318,Aberdeenshire,5898,SERV,S,4874,5318
Visser,2175,,JULY,B,2770,,2945,Elizabeth,1880,2945,2240,"572 Moss Road, Scottish Borders",Visser,Fernandez,Szabo,8,,Szabo,2945,SYNTHETIC DATA PRODUCED USING VALIPOP,"734 Golf Course Road, Girvan, South Ayrshire",1902,,2240,25,Mary,32,ENGINEER (JOURNEYMAN),Tyler,LINNEN WEAVER,Andrew,2175,1007,PAP MILL ENGINE RAG WASHER,Alexander,WILLIAMS,2770,Bathia,2154,Weensmoore Scottish Borders,2770,BLEACHER,S,1902,2154
Schroeder,1811,,NOVEMBER,B,2764,,2599,Merve,1880,2599,1859,"49 Whitehaugh Park, Kittlegairy Estate, Peebles",Schroeder,Davidov,Larsson,28,,Larsson,2599,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ailsa Place, Girvan, South Ayrshire",2486,,1859,39,Camille,33,WOOLEN FLEARTH RUG MAKER,David,MISSIONARY,John,1811,1008,COMMERCIAL CLERK,John,Muratovic,2764,Rose,2086,Weensmoore Scottish Borders,2764,GROCER,W,2486,2086
Prochazka,2075,,NOVEMBER,B,3046,,3005,Mary,1880,3005,2175,"2 Union Street, Scottish Borders",Prochazka,Brown,Visser,13,,Visser,3005,SYNTHETIC DATA PRODUCED USING VALIPOP,"572 Moss Road, Scottish Borders",2154,,2175,24,Marie,22,SAILOR MERCHANT SERVICE,Alexander,GROOM,Angus,2075,1009,LINNEN WEAVER,James,Fernandez,3046,Isabella,2464,Girvan South Ayrshire,3046,PLUMBERS DAUGHTER,S,2154,2464
Szabo,2238,,AUGUST,B,3044,,2803,Janet,1880,2803,2055,"2 Millbank Road, Stranraer, Dumfries and Galloway",Szabo,Delic,Kristiansen,24,,Kristiansen,2803,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gearraidh Gadhal, Na h-Eileanan Siar",2102,,2055,29,Annie,20,LABOURER,Robert,ASSISTANT GARDENER,Charles,2238,1010,LABOURER IRON WORK,Tomas,Rossi,3044,Grace,2104,Bridge of Don Aberdeen City,3044,POTTER,S,2102,2104
Wozniak,2439,,SEPTEMBER,B,3268,,3085,Minnie,1880,3085,2680,"1 School Lane, Balbinny, Angus",Wozniak,Garcia,Li,13,,Li,3085,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Bail Ur, Highland",2632,,2680,22,Kate,16,LABOURER IN IRON WORK,Matteo,MASONS LABOURER,David,2439,1011,CALICO PRINTER,Duncan,DAVISON,3268,Jane,2416,Aberdeenshire,3268, ,S,2632,2416
Visser,2175,,JULY,B,2338,,2827,Elisabeth,1881,2827,1813,"572 Moss Road, Scottish Borders",Visser,Fernandez,Harutyunyan,9,,Harutyunyan,2827,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Napierston Road, West Dunbartonshire",1718,,1813,32,Mary,48,DRAINER,John,LINNEN WEAVER,Hyacinth,2175,1017,LABOURER,Alexander,Schroeder,2338,Bella,2154,Stranraer Dumfries and Galloway,2338,COTTAGERS WIFE,W,1718,2154
Kristiansen,1827,,JULY,B,3214,,2103,Kristin,1881,2103,3208,"1 Castle Street, Aberdeenshire",Kristiansen,Fernandez,Petrauskas,28,,Petrauskas,2103,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Malvina Place, North Muirton, Perth and Kinross",3209,,3208,56,Margaret,43,GROOM AT HOTEL,Diogo,PROPRIETOR OF HOUSES,John,1827,1018, ,Samuel,Dordevic,3214,Antonia,1506,Highland,3214, ,S,3209,1506
