Death,MOTHER_IDENTITY,father's forename,father's occupation,sex,FATHER_BIRTH_RECORD_IDENTITY,day of parents' marriage,place of parent's marriage,CHILD_IDENTITY,mother's occupation,family,illegit,DEATH_RECORD_IDENTITY,father's surname,MARRIAGE_RECORD_IDENTITY3,birth day,MARRIAGE_RECORD_IDENTITY2,PARENT_MARRIAGE_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,month of parents' marriage,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,FATHER_IDENTITY,mother's forename,child's forname(s),mother's maiden surname,birth year,address,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes,child's surname,marriage,year of parents' marriage,birth month
3352,2450,William,LANDED PROPRIETOR'S GARDENER,F,2383,21,Butterhall Scottish Borders,3352, ,848,,3352,Delic,,11,,848,1102,DECEMBER,,,2383,Anne,Ellen,Thill,1866,"1 Butterhall, Scottish Borders",3352,2450,SYNTHETIC DATA PRODUCED USING VALIPOP,Delic,848,1859,AUGUST
,5668,Francis,PLOUGHMAN,F,5425,23,North Ayrshire,6320,SCHOLAR,1785,,,Visser,,6,,1785,,APRIL,,,5425,Bridget,Isabella,Smith,1951,"5 Cora Linn Court, North Ayrshire",6320,5668,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,1785,1950,SEPTEMBER
,5214,James,MECHANIC,F,4935,18,Kirkton Angus,6308,HOUSE MAID,1632,,,Lopez,,16,,1632,2061,DECEMBER,,,4935,Sarah,Lexie,Andersson,1951,"1 Corsar Croft, Kirkton, Angus",6308,5214,SYNTHETIC DATA PRODUCED USING VALIPOP,Lopez,1632,1940,AUGUST
,5286,Mustafa,HAWKER,F,5658,3,Braehouse Scottish Borders,6310,WINDER,1779,,,Babic,,24,,1779,2104,DECEMBER,,,5658,Terresa,Penelepy,Larsson,1951,"3 Braehouse, Scottish Borders",6310,5286,SYNTHETIC DATA PRODUCED USING VALIPOP,Babic,1779,1947,FEBRUARY
,5384,Krajnc,LABOURER,F,5419,JUNE,Celardyke Fife,6314,DOMESTIC SERVT,1709,missing,,Wm,,29,,1709,,9,,,5419,?ary,Ann,Kuznetsov,1951,"2 Common Road, Cellardyke, Fife",6314,5384,SYNTHETIC DATA PRODUCED USING VALIPOP,Krajnc,1709,1946,NOVEMBER
,6068,Alexander,SCHOLAR,F,5801,12,Cornton Stirling,6318, ,1769,,,Rojas,,27,,1769,2062,JUNE,,,5801,Leire,Frances,Rossi,1951,"1 Cornton, Stirling",6318,6068,SYNTHETIC DATA PRODUCED USING VALIPOP,Rojas,1769,1949,FEBRUARY
,5672,George,MASON,F,5253,18,Na h-Eileanan Siar,6322,SCHOLAR,1787,,,Wozniak,,14,,1787,2063,AUGUST,,,5253,Jemima,Peggy,Nguyen,1951,"1 Rathad na Horgh, Na h-Eileanan Siar",6322,5672,SYNTHETIC DATA PRODUCED USING VALIPOP,Wozniak,1787,1951,OCTOBER
6342,5359,John,CATTLE DEALER,F,4909,24,,6342, ,1778,illegitimate,6342,Schmidt,,24,,1778,,JUNE,,,4909,Katie,Margaret,Gauthier,1952,"1 Panbride Road, Batties Den, Angus",6342,5359,SYNTHETIC DATA PRODUCED USING VALIPOP,Schmidt,1778,1952,SEPTEMBER
6344,5070,Peter,FARMER OF 10 ACRES,F,4631,4,Wooden Scottish Borders,6344,MERCHANT'S WIFE,1582,,6344,Harutyunyan,,16,,1582,,SEPTEMBER,,,4631,Jessie,Isabella,Watanabe,1952,"1 Wooden, Scottish Borders",6344,5070,SYNTHETIC DATA PRODUCED USING VALIPOP,Harutyunyan,1582,1935,JANUARY
,5210,Bence,FISHERMAN,F,5474,10,Allanbank Lauder ,6346,COTTON MILL WORKER,1734,,,Martinez,,16,,1734,,APRIL,,,5474,Mary,Agness,Larsson,1952,"1 South Gardens, Allanbank, Lauder",6346,5210,SYNTHETIC DATA PRODUCED USING VALIPOP,Martinez,1734,1946,JANUARY
,5258,Hugh,WOOL SPINNER,F,5213,14,Aberdeenshire,6348,PREPARER OF CLOTH,1795,,,Bonik,,28,,1795,,NOVEMBER,,,5213,Mary,Margaret,de Boer,1952,"1 Knockhall Road, Aberdeenshire",6348,5258,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,1795,1950,JUNE
3358,2534,Harry,LABOURER AT ANYTHING,F,2463,27,Braeleny Farm Stirling,3358,DOMESTIC SERVANT,840,,3358,Brown,,15,,840,1076,JULY,,,2463,Jane,Mary,Hernandez,1866,"1 Geisher Road, Braeleny Farm, Stirling",3358,2534,SYNTHETIC DATA PRODUCED USING VALIPOP,Brown,840,1861,MARCH
,5338,George,BLACKSMITH,F,5343,3,Highland,6354,DOMESTIC SERVANT,1751,,,Iliev,,23,,1751,,SEPTEMBER,,,5343,Isabella,Mary,Moreau,1952,"39 Raonmor, Highland",6354,5338,SYNTHETIC DATA PRODUCED USING VALIPOP,Iliev,1751,1946,DECEMBER
,5330,Joseph,AG LAB,F,5123,16,Highland,6356,SHOP KEEPER,1797,,,Bonik,,19,,1797,,JANUARY,,,5123,Isabella,Chirsty,Petrauskas,1952,"35 Gordon Brown Place, Highland",6356,5330,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,1797,1950,DECEMBER
,5382,Andrea,STONE MqSON,F,5868,JANUARY,South Ayrshire,6360,DOMESTIC SERVANT,1710,,,Popovic,,12,,1710,,13,,,5868,Christina,Popovic,Szado,1952,"2 Greenhead Street, South Ayrshire",6360,5382,SYNTHETIC DATA PRODUCED USING VALIPOP,I,1710,1944,MAY
,5428,Josef,ARCHITECTS DRAUGHTSMAN,F,5952,,,6362, ,1798,illegitimate,,Petrov,,24,,,,,,,5952,Ann,Margaret,Nguyen,1952,,6362,5428,SYNTHETIC DATA PRODUCED USING VALIPOP,Petrov,,,NOVEMBER
,5682,Willi,SHIP'S CARPENTER,F,5547,18,Masterton Dunfermline ,6366,SCHOLAR,1801,,,Larsson,,11,,1801,,JULY,,,5547,Hannah,Isabella,Tasev,1952,"1 Masterton, Dunfermline, Fife",6366,5682,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,1801,1950,FEBRUARY
,5762,Alex,LABOURER,F,5501,10,,6368,SCHOLAR,1803,,,Prochazka,,4,,1803,,JULY,,,5501,Janet,Marion,Muratovic,1952,"1 Murray Square, Highland",6368,5762,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,1803,1954,FEBRUARY
,5472,Lawrence,SHOE MAKER,F,5303,5,Lanark South Lanarkshire,6350,OUT WORKER,1748,,,Visser,,27,,1748,,NOVEMBER,,,5303,Freja,Susan,Martinez,1952,"1 Kirklands Road, Lanark, South Lanarkshire",6350,5472,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,1748,1946,JULY
,5561,John,BLACKSMITH,F,5011,26,The Lees Coldstream ,6352,POWER LOOM COTTON WEAVER,1736,,,Larsson,,10,,1736,2042,JANUARY,,,5011,Laura,Mary,Jansen,1952,"1 Gowanlea, The Lees, Coldstream",6352,5561,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,1736,1945,AUGUST
,5392,Joseph,RAILWAY PORTER,F,5453,13,Aberdeenshire,6358,LAUNDRY MAID,1708,,,Iliev,,2q,,1708,2072,JULY,,,5453,Margaret,Ilief,Dumitru,1952,"2 Stewart Cottages, Aberd?enshire",6358,5392,SYNTHETIC DATA PRODUCED USING VALIPOP,Jane,1708,1945,JUNE
,5502,James,COAL MINER,F,5247,17,Wooden Scottish Borders,6364,COW FEEDERS DAUR,1753,,,Sanchez,,16,,1753,2073,NOVEMBER,,,5247,Catherine,Margt,Wozniak,1952,"3 Wooden, Scottish Borders",6364,5502,SYNTHETIC DATA PRODUCED USING VALIPOP,Sanchez,1753,1946,FEBRUARY
,2746,Carvalho,DYERS LABOURER,?,2584,29,South Ayrshie,3364, ,881,,,Jeremy,,7,,881,1156,MAY,,,2584,Margaret,Carvalo,Hernandez,1866,"1589 Castle Road, South Ayrshire",3364,2746,SYNTHETIC DATA PRODUCED USING VALIPOP,Marqy,881,1864,NOVEMBER
6383,5564,David,COAL MINER,F,5572,9,Aberdeenshire,6383, ,1809,,6383,Iliev,,28,,1809,,DECEMBER,,,5572,Lisa,Agnes,Jansen,1953,"41 Hobshill Place, Aberdeenshire",6383,5564,SYNTHETIC DATA PRODUCED USING VALIPOP,Iliev,1809,1950,APRIL
6384,5024,Thijs,LABROUR,F,6137,16,Dalry North Ayrshire,6384,BASKET H BEEHIVE MAKERS DAUR,1810,,6384,Sahin,,11,,1810,,AUGUST,,,6137,Mary,Kate,Santos,1953,"2 Garnock Street, Dalry, North Ayrshire",6384,5024,SYNTHETIC DATA PRODUCED USING VALIPOP,Sahin,1810,1950,MARCH
,5022,James,BLACKSMITH,F,5055,24,,6385,GENERAL SERVANT,1702,illegitimate,,Grigoryan,,13,,1702,,DECEMBER,,,5055,Cathne,Jessie,Maisuradze,1953,"258 Golf Course Road, Girvan, South Ayrshire",6385,5022,SYNTHETIC DATA PRODUCED USING VALIPOP,Grigoryan,1702,1949,JANUARY
,5436,Thomas,JOINER,F,5199,25,Na h-Eileanan Siar,6386, ,1746,,,Hernandez,,17,,1746,,FEBRUARY,,,5199,Michela,Elizabeth,Savic,1953,"1 Gearra Mor, Na h-Eileanan Siar",6386,5436,SYNTHETIC DATA PRODUCED USING VALIPOP,Hernandez,1746,1944,AUGUST
,5208,James,TANNERS LABR,F,4425,7,Clackmannanshire,6388,MUSLIN VEINER,1747,,,Brown,,5,,1747,,JANUARY,,,4425,Jane,Helen,Soto,1953,"1 Broompark West, Clackmannanshire",6388,5208,SYNTHETIC DATA PRODUCED USING VALIPOP,Brown,1747,1947,MAY
,5246,John,TENNANT OF LANDS,F,5071,,,6390,MILLENER (AP),1812,illegitimate,,Garcia,,7,,,,,,,5071,Bridget,J,Sanchez,1953,,6390,5246,SYNTHETIC DATA PRODUCED USING VALIPOP,Garcia,,,MAY
,5422,Joseph,AG LAB,F,5123,,,6392,DOMESTIC SERVANT,1814,illegitimate,,Bonik,,6,,,,,,,5123,Mary,Mary,Kuznetsov,1953,,6392,5422,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,,,JULY
,5544,James,CALICO PRINTER,F,5269,22,Hillpark Bannockburn ,6394,COTTON WEAVER,1816,,,Bonik,,26,,1816,,APRIL,,,5269,Elizabeth,Maggie,Brown,1953,"24 Old Town, Hillpark, Bannockburn",6394,5544,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,1816,1951,AUGUST
,5642,Alex,CLOTH MERCHANT,F,5455,30,Weensmoore Scottish Borders,6396,SCHOLAR,1784,,,Garcia,,16,,1784,,APRIL,,,5455,Mary,Catherine,Tkachenko,1953,"5 Weensmoore, Scottish Borders",6396,5642,SYNTHETIC DATA PRODUCED USING VALIPOP,Garcia,1784,1950,JANUARY
,5760,James,AG LAB,F,4905,7,Stotfield Lossiemouth ,6398,SCHOLAR,1818,,,Pena,,29,,1818,,JUNE,,,4905,Mary,Mary,Wozniak,1953,"1 Dean Terrace, Stotfield, Lossiemouth",6398,5760,SYNTHETIC DATA PRODUCED USING VALIPOP,Pena,1818,1952,MARCH
,2338,Julen,SHOE MAKER,F,2807,6,West Dunbartonshire,3346, ,806,,,Maisuradze,,18,,806,1103,FEBRUARY,,,2807,Bella,Catherine,Harutyunyan,1866,"1 Napierston Road, West Dunbartonshire",3346,2338,SYNTHETIC DATA PRODUCED USING VALIPOP,Maisuradze,806,1856,SEPTEMBER
6414,4878,Gustavo,GRAIN BROKER & FACTOR,F,5515,10,Highland,6414,AT HOME,1615,,6414,Perez,,20,,1615,,APRIL,,,5515,Agnes,Jessie,Mohamed,1954,"4 Pairc Uilleim, Highland",6414,4878,SYNTHETIC DATA PRODUCED USING VALIPOP,Perez,1615,1937,JULY
6415,4978,Jake,LAPPER,F,5279,25,Littledean Scottish Borders,6415,WIFE,1641,,6415,Moreau,,25,,1641,,OCTOBER,,,5279,Isabella,Jane,Grigoryan,1954,"1 Littledean, Scottish Borders",6415,4978,SYNTHETIC DATA PRODUCED USING VALIPOP,Moreau,1641,1938,DECEMBER
6416,4986,Andrew,MARBLE CUTTER,F,5301,6,Burnfoot Scottish Borders,6416, ,1639,,6416,Greco,,5,,1639,,APRIL,,,5301,Elizabeth,Mary,Watanabe,1954,"1 Scott Crescent, Burnfoot, Scottish Borders",6416,4986,SYNTHETIC DATA PRODUCED USING VALIPOP,Greco,1639,1941,JANUARY
6417,5146,John,MASTER BAKER (3 MEN),F,5075,30,Stevenston North Ayrshire,6417,HOUSEMAID,1642,,6417,Szabo,,9,,1642,,MAY,,,5075,Ann,Agnes,Demir,1954,"1 Hamilton Crescent, Stevenston, North Ayrshire",6417,5146,SYNTHETIC DATA PRODUCED USING VALIPOP,Szabo,1642,1937,DECEMBER
,5146,John,MASTER BAKER (3 MEN),F,5075,30,Stevenston North Ayrshire,6418,HOUSEMAID,1642,,,Szabo,,9,,1642,,MAY,,,5075,Ann,Sarah,Demir,1954,"1 Hamilton Crescent, Stevenston, North Ayrshire",6418,5146,SYNTHETIC DATA PRODUCED USING VALIPOP,Szabo,1642,1937,DECEMBER
,5212,James,PLOUGHMAN,F,5198,3,South Ayrshire,6420, ,1733,,,Mohamed,,1,,1733,,JANUARY,,,5198,Agnes,Davinia,Kobayashi,1954,"1594 Castle Road, South Ayrshire",6420,5212,SYNTHETIC DATA PRODUCED USING VALIPOP,Mohamed,1733,1945,MARCH
,5472,Lawrence,SHOE MAKER,F,5303,5,Lanark South Lanarkshire,6426,OUT WORKER,1748,,,Visser,,22,,1748,,NOVEMBER,,,5303,Freja,Jane,Martinez,1954,"1 Kirklands Road, Lanark, South Lanarkshire",6426,5472,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,1748,1946,FEBRUARY
,5338,George,BLACKSMITH,F,5343,3,Highland,6428,DOMESTIC SERVANT,1751,,,Iliev,,29,,1751,,SEPTEMBER,,,5343,Isabella,Beatrice,Moreau,1954,"39 Raonmor, Highland",6428,5338,SYNTHETIC DATA PRODUCED USING VALIPOP,Iliev,1751,1946,DECEMBER
,5464,Jacob,SILK & WOOLEN WEAVER,F,5361,20,Belhaven East Lothian,6430,DOMESTIC SERV,1826,,,Gauthier,,11,,1826,,MARCH,,,5361,Margaret,Margaret,Markovic,1954,"1 Cedar Street, Belhaven, East Lothian",6430,5464,SYNTHETIC DATA PRODUCED USING VALIPOP,Gauthier,1826,1951,JANUARY
,5500,James,ARCHITECT'S ASSISTANT,F,5529,5,Stewarton East Ayrshire,6432, ,1827,,,Demir,,13,,1827,,APRIL,,,5529,Mary,Agnes,Dumitru,1954,"1 Annickbank, Stewarton, East Ayrshire",6432,5500,SYNTHETIC DATA PRODUCED USING VALIPOP,Demir,1827,1954,APRIL
3380,2230,William,FLAX AND YARN AND JUTE,F,1905,2,Drumardoch Farm Callander ,3380, ,733,,3380,Larsson,,9,,733,,OCTOBER,,,1905,Jane,Elizabeth,Markovic,1867,"1 Bracklinn Road, Drumardoch Farm, Callander",3380,2230,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,733,1846,FEBRUARY
,5526,James,HAIRDRESSER,F,5353,27,Berryhill Strathaven ,6434,SILK SEWER,1829,,,Bonik,,20,,1829,,APRIL,,,5353,Annie,Elisabeth,Grigoryan,1954,"1 Orchard Gardens, Berryhill, Strathaven",6434,5526,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,1829,1951,FEBRUARY
,5642,Alx,CLOTH MERCHANT,F,5455,30,?eensmoore Scottish Borders,6436,SEAMAN'S DAUR,1784,,,Garcia,,16,,1784,,APRIL,,,5455,Mary,Gardia,Tkachenko,1954,"5 Weensmoore, Scottish Borders",6436,5642,SYNTHETIC DATA PRODUCED USING VALIPOP,Agjes,1784,1950,JANUARY
,5942,Hugh,AG LAB,F,5217,3,Girvan South Ayrshire,6438,SCHOLAR,1804,,,Szabo,,10,,1804,,MARCH,,,5217,Camille,Ann,White,1954,"259 Golf Course Road, Girvan, South Ayrshire",6438,5942,SYNTHETIC DATA PRODUCED USING VALIPOP,Szabo,1804,1952,JUNE
,5248,Thomas,BOOK KEEPER TO VENETIAN BLIND MAKER,F,4977,31,,6422,OUT DOOR WORKER,1824,illegitimate,,Grigoryan,,28,,1824,2087,JULY,,,4977,Marion,Jane,Mohamed,1954,"1 Woodland Park, Highland",6422,5248,SYNTHETIC DATA PRODUCED USING VALIPOP,Grigoryan,1824,1955,JUNE
,5304,Daniel,SCHOOL MASTER,F,5473,27,Netherurd House Scottish Borders,6424,DOMESTIC SERVT,1646,,,Martinez,,11,,1646,2088,APRIL,,,5473,Agnes,Margaret,de Boer,1954,"3 The Old Creamery, Netherurd House, Scottish Borders",6424,5304,SYNTHETIC DATA PRODUCED USING VALIPOP,Martinez,1646,1942,JANUARY
6454,5174,James,LAPPER,F,5307,,,6454,FLAX MILL WORKER,1837,missing,6454,Markovic,,1,,,,,,,5307,Dumitrbu,Markovic,Mavy,1955,,6454,5174,SYNTHETIC DATA PRODUCED USING VALIPOP,Martha,,,SEPTEMBER
,5178,Alexr,RAILWAY LABOURER,F,5031,19,,6456, ,1623,illegitimate,,Andersson,,2,,1623,,OCTOBER,,,5031,Mary,Mary,Nguyen,1955,"735 Golf Course Road, Girvan, South Ayrshire",6456,5178,SYNTHETIC DATA PRODUCED USING VALIPOP,Andersson,1623,1943,JUNE
,5563,Alexander,LAB,F,5019,30,North Ayrshire,6458,HOUS K,1661,,,Demir,,28,,1661,,DECEMBER,,,5019,Maria,Catherine,Jansen,1955,"22 Shean Drive, North Ayrshire",6458,5563,SYNTHETIC DATA PRODUCED USING VALIPOP,Demir,1661,1941,MARCH
,5286,Babic,?G LAB,F,5658,,Braehouse Scottish Borders,6460,WINDER,1779,missing,,Mustafa,,31,,1779,,DECEMBER,,,5658,Terresa,Jessie,Larsson,1955,"3 Braehouse, Scottish Borders",6460,5286,SYNTHETIC DATA PRODUCED USING VALIPOP,Babic,1779,1947,OCTOBER
,5472,Lawrence,SHOE MAKER,F,5303,5,Lanark South Lanarkshire,6462,OUT WORKER,1748,,,Visser,,17,,1748,,NOVEMBER,,,5303,Freja,Irvine,Martinez,1955,"1 Kirklands Road, Lanark, South Lanarkshire",6462,5472,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,1748,1946,AUGUST
,2702,John,LABOURER,F,2259,4,Highland,3382, ,797,,,Rivera,,18,,797,,JANUARY,,,2259,Mia,Ann,Rodriguez,1867,"38 Raonmor, Highland",3382,2702,SYNTHETIC DATA PRODUCED USING VALIPOP,Rivera,797,1853,FEBRUARY
,5390,John,CHEMICAL LABOURER,F,5133,1,Belhaven Dunbar ,6464,QUILTER,1841,,,Prochazka,,24,,1841,,FEBRUARY,,,5133,Margeret,Georgina,Markovic,1955,"1 Lawson Place, Belhaven, Dunbar",6464,5390,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,1841,1953,OCTOBER
,5386,James,IRON SHINGLER,F,4985,2,North Ayrshire,6466, ,1764,,,Prochazka,,10,,1764,,MAY,,,4985,Agnes,Mary,Szabo,1955,"4 Cora Linn Court, North Ayrshire",6466,5386,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,1764,1947,SEPTEMBER
,5502,James,DOCK LABOURER,F,5247,17,Wooden Scottish Borders,6468,COW FEEDERS DAUR,1753,,,Sanchez,,19,,1753,,NOVEMBER,,,5247,Catherine,Isa,Wozniak,1955,"3 Wooden, Scottish Borders",6468,5502,SYNTHETIC DATA PRODUCED USING VALIPOP,Sanchez,1753,1946,SEPTEMBER
,6021,William,GAME KEEPER,F,5278,15,Cowdenbeath Fife,6470,GENERAL SERVANT,1843,,,Moreau,,30,,1843,,MARCH,,,5278,Telma,Mary,Perez,1955,"1 Gordon Street, Cowdenbeath, Fife",6470,6021,SYNTHETIC DATA PRODUCED USING VALIPOP,Moreau,1843,1952,AUGUST
,5524,William,FISHERMAN,F,5545,28,Aberdeenshire,6472, ,1815,,,Maisuradze,,23,,1815,,AUGUST,,,5545,Elizabeth,Mary,Soto,1955,"1 Hobshill Road, Aberdeenshire",6472,5524,SYNTHETIC DATA PRODUCED USING VALIPOP,Maisuradze,1815,1951,JANUARY
,5630,Eetu, ,F,6328,28,,6474,DOMESTIC SERVANT,1830,illegitimate,,Wozniak,,31,,1830,,JANUARY,,,6328,Marion,Bridget,Jansen,1955,"39 Redmire Crescent, Heatherknowe, Portlethen",6474,5630,SYNTHETIC DATA PRODUCED USING VALIPOP,Wozniak,1830,1955,MARCH
,5706,Theo,AGRICULTURAL LABOURER,F,5774,8,Weensmoore Scottish Borders,6476, ,1846,,,Azoulay,,15,,1846,,FEBRUARY,,,5774,Janet,Cathrine,Andersson,1955,"2 Weensmoore, Scottish Borders",6476,5706,SYNTHETIC DATA PRODUCED USING VALIPOP,Azoulay,1846,1954,SEPTEMBER
,5762,P,LABOURER,F,5501,10,,6478,SCHOLAR,1803,,,Alex,,5,,1803,,JULY,,,5501,Janet,Prochazka,Muratovic,1955,"1 Murray Square, Highland",6478,5762,SYNTHETIC DATA PRODUCED USING VALIPOP,J,1803,19t4,MARCH
,5846,Robert,GARDENER JOURNEYMAN,F,5633,,,6480,SCHOLAR,1848,illegitimate,,Dumitru,,28,,,,,,,5633,Margaret,Ellen,Smith,1955,,6480,5846,SYNTHETIC DATA PRODUCED USING VALIPOP,Dumitru,,,AUGUST
,5860,John,PLOUGHMAN,F,5543,,,6482,SCHOLAR,1850,illegitimate,,Brown,,10,,,,,,,5543,Jane,Mary,Demir,1955,,6482,5860,SYNTHETIC DATA PRODUCED USING VALIPOP,Brown,,,MARCH
3386,2538,Samuel,RAILWAY LABOURER,F,2863,27,South Ayrshire,3386,POWER LOOM WEAVER,824,,3386,Jones,,4,,824,1165,APRIL,,,2863,Kate,Jane,Bolkvadze,1867,"1 Cairnhill Place, South Ayrshire",3386,2538,SYNTHETIC DATA PRODUCED USING VALIPOP,Jones,824,1859,JUNE
,5562,Rodriguej,COACHMAN,F,5043,NOVEMiER,Kingsmuir Peebles ,6502,?,1723,,,Markus,,7,,1723,,19,,,5043,Nina,Janet,Jansen,1956,"2 Edderston Ridge, Kingsmuir, Peebles",6502,5562,SYNTHETIC DATA PRODUCED USING VALIPOP,Rodriguez,1723,1944,SEPTEMBER
,5288,Thomas,COAL MINER,F,5261,27,Denbeath Buckhaven ,6506,DOMESTIC SERV,1676,,,Larsson,,13,,1676,,JUNE,,,5261,Elizabeth,Catherine,Santos,1956,"1 Factory Road, Denbeath, Buckhaven",6506,5288,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,1676,1942,JUNE
