ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5
3050,767,767,Margeret,Larsson,1,NOVEMBER,1856,"32 Gordon Brown Place, Highland",F,Kenneth,Larsson,BOOT MAKER,Emily,Rivera,DOMESTIC SERVANT,29,DECEMBER,1849,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3050,3050,2310,1925,3050,767,1925,2310,,,,,
3052,784,784,Ann,Prochazka,26,SEPTEMBER,1856,"1 Golf Course Road, Girvan, South Ayrshire",F,James,Prochazka,GROOM,Marie,Brown, ,12,SEPTEMBER,1851,"Girvan South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3052,2464,2075,,784,2075,2464,,,,,
3054,796,796,Maggie,Rodriguez,8,MARCH,1856,"102 Brunton Park, Manse, Scottish Borders",F,William,Rodriguez,SHINGLERS LABOURER,Sophie,Jones, ,17,AUGUST,1852,"Manse Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3054,3054,2862,2447,3054,796,2447,2862,,,,,
3044,765,765,Grace,Kristiansen,15,JANUARY,1856,"1 Gearraidh Gadhal, Na h-Eileanan Siar",F,Robert,Kristiansen,CABINET MAKER EMPLOYS 7 MEN,Janet,Rossi,WIFE,1,JANUARY,1848,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,3044,3044,2102,2055,3044,765,2055,2102,1010,,,,
3046,732,732,Isabella,Visser,31,MARCH,1856,"1 Allan's Hill, Maybole, South Ayrshire",F,Alexander,Visser,LINNEN WEAVER,Mary,Fernandez,SPIRIT,30,MAY,1844,"Maybole South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3046,3046,2154,2175,3046,732,2175,2154,1009,,,,
3076,804,804,Jane,Larsson,17,MAY,1857,"2 Darley Place, Troon, South Ayrshire",F,William,Larsson,IRONMONGER LAB,Michela,Jones, ,12,NOVEMBER,1853,"Troon South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3076,3076,2428,2117,3076,804,2117,2428,,,,,
3078,697,697,Mary,Fernandez,11,DECEMBER,1857,"1 King's Way, Castlehill, West Dunbartonshire",F,Walter,Fernandez,BREAD BAKER,Elif,Paulauskas, ,17,MARCH,1843,"Castlehill West Dunbartonshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3078,2372,2205,,697,2205,2372,,,,,
3080,766,766,Jane,Larsen,18,APRIL,1857,"1 Skua Drive, Dalgety Bay, Fife",F,Robert,Larsen,LABOURER,Agnes,Bolkvadze,DRESS MAKER,10,JUNE,1849,"Dalgety Bay Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3080,2234,2121,,766,2121,2234,,,,,
3082,782,782,Mary,Fernandez,12,APRIL,1857,"1 Darley Place, Troon, South Ayrshire",F,James,Fernandez,PLOUGHMAN,Guorun,Jones, ,5,JULY,1852,"Troon South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3082,3082,2865,2211,3082,782,2211,2865,,,,,
3086,790,790,Johan,Anderson,2,AUGUST,1857,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",F,Benjamin,Anderson,SCHOOLMASTER,Margaret,Rivera,DAIRY MAID,21,MARCH,1853,"Kincorth Aberdeen City",,SYNTHETIC DATA PRODUCED USING VALIPOP,3086,3086,2412,2915,3086,790,2915,2412,1072,,,,
3088,809,809,Margaret,Sanchez,22,APRIL,1857,"237 The Paddock, East Lothian",F,John,Sanchez,SCHOLAR,Jane,Hernandez,SCHOLAR,13,OCTOBER,1858,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3088,3088,2534,2633,3088,809,2633,2534,1021,,,,
3072,802,,Isabella,Markovic,21,JUNE,1857,,F,John,Markovic,COAL MINER,Mary,Larsson, ,,,,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,3072,3072,1964,2099,3072,,2099,1964,,1143,,,
3084,783,783,Isabella,Rodriguez,6,MAY,1857,"33 Gordon Brown Place, Highland",F,Robin,Rodriguez,SHIP BROKERS CLERK,Mary,Rivera,FARMER'S DAUR,21,OCTOBER,1850,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3084,2340,2703,,783,2703,2340,1052,,,,
3074,765,765,Ann,Kristiansen,9,APRIL,1857,"1 Gearraidh Gadhal, Na h-Eileanan Siar",F,Robert,Kristiansen,CABINET MAKER EMPLOYS 7 MEN,Janet,Rossi,WIFE,1,JANUARY,1848,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3074,2102,2055,,765,2055,2102,,,1119,,
3102,804,804,Maggie,Larsson,24,OCTOBER,1858,"2 Darley Place, Troon, South Ayrshire",F,William,Larsson,IRONMONGER LAB,Michela,Jones, ,12,NOVEMBER,1853,"Troon South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3102,3102,2428,2117,3102,804,2117,2428,,,,,
3104,742,742,Jean,Guo,1,JUNE,1858,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",F,James,Guo,JOBBING GARDENER,Isabella,Fernandez,MUSLIN SEWER,1,AUGUST,1846,"Nether Kirkton Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,3104,3104,2180,2606,3104,742,2606,2180,,,,,
3106,766,766,Maggie,Larsen,21,MARCH,1858,"1 Skua Drive, Dalgety Bay, Fife",F,Robert,Larsen,LABOURER,Agnes,Bolkvadze,MILLINER,10,JUNE,1849,"Dalgety Bay Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3106,2234,2121,,766,2121,2234,,,,,
3108,813,813,Fanny,Jones,3,JULY,1858,"1 Southfield, Scottish Borders",F,Samuel,Jones,COAL MINER,Alice,Rivera,TENANT'S DAUGHTER,12,MARCH,1856,"Southfield Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3108,3108,2308,2863,3108,813,2863,2308,,,,,
3112,783,783,Mary,Rodriguez,31,OCTOBER,1858,"33 Gordon Brown Place, Highland",F,Robin,Rodriguez,SHIP BROKERS CLERK,Mary,Rivera,FARMER'S DAUR,21,OCTOBER,1850,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3112,3112,2340,2703,3112,783,2703,2340,1108,,,,
3114,815,815,Ellen,Garcia,16,DECEMBER,1858,"1 Knockcushan Street, Girvan, South Ayrshire",F,Duncan,Garcia,CLERK AP WRITERS OFFICE,Catherine,Szabo,FRENCH POLISHER,15,APRIL,1856,"Girvan South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3114,3114,2480,2513,3114,815,2513,2480,1073,,,,
3110,814,814,Agnes,WILLIAMS,4,SEPTEMBER,1858,"2 Union Street, Scottish Borders",F,George,WILLIAMS,COTTAR,Marie,Brown, ,9,JUNE,1857,"Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3110,2464,2127,,814,2127,2464,1034,,,,
3130,689,689,Helen,Szabo,22,JANUARY,1859,"86 Bay View Terrace, Dumfries and Galloway",F,Andrea,Szabo,FOUNDRY LABOURER,Emma,Larsen, ,25,JULY,1840,"Dumfries and Galloway",,SYNTHETIC DATA PRODUCED USING VALIPOP,3130,3130,2006,2239,3130,689,2239,2006,,,,,
3132,705,705,Ann,Sanchez,6,AUGUST,1859,"1 Girnick, Scottish Borders",F,David,Sanchez,CHIMNEY SWEEPER,Antonia,Soto, ,25,AUGUST,1839,"Girnick Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3132,3132,2492,1995,3132,705,1995,2492,,,,,
3134,717,717,Marion,Soto,10,JUNE,1859,"1 Weensmoore, Scottish Borders",F,Tyler,Soto,SUB AGENT,Elizabeth,Fernandez,COTTON BLEACHER,25,JANUARY,1844,"Weensmoore Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3134,3134,2202,2491,3134,717,2491,2202,,,,,
3138,821,,Janet,Rojas,1,SEPTEMBER,1859,,F,Matthew,Rojas,PLOUGHMAN,Ann,CONLLY,DRESS MAKER,,,,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,3138,3138,2368,2653,3138,,2653,2368,,,,,
3140,807,807,Ann,Wozniak,14,DECEMBER,1859,"1 School Lane, Balbinny, Angus",F,Duncan,Wozniak,GENERAL SRV,Kate,Garcia,HOUSE KEEPER,3,JULY,1854,"Balbinny Angus",,SYNTHETIC DATA PRODUCED USING VALIPOP,3140,3140,2416,2439,3140,807,2439,2416,,,,,
3142,823,823,Isabella,Bonik,29,AUGUST,1859,"1 Gretenhow, Gretna, Dumfries and Galloway",F,Nojus,Bonik,ENGINE FITTER,Janet,Rivera,SERV,26,NOVEMBER,1855,"Gretna Dumfries and Galloway",,SYNTHETIC DATA PRODUCED USING VALIPOP,3142,3142,2536,2976,3142,823,2976,2536,1135,,,,
3144,809,809,Mary,Sanchez,29,AUGUST,1859,"237 The Paddock, East Lothian",F,John,Sanchez,SCHOLAR,Jane,Hernandez,DOMESTIC SERVANT,13,OCTOBER,1858,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3144,3144,2534,2633,3144,809,2633,2534,1163,,,,
3146,825,825,Betsy,Rojas,14,APRIL,1859,"87 Riverside Park, Highland",F,Thomas,Rojas,ROPE SPINNER,Janet,Markovic,SCHOLAR,9,JULY,1866,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3146,3146,2698,2650,3146,825,2650,2698,1136,,,,
3136,776,776,Isabella,Greco,1,SEPTEMBER,1859,"1 Martin Terrace, Aberdeenshire",F,Jeffrey,Greco,UNDER PERSONS INFANT CHILD OF SAID,Isabella,Molnar,COTTON REELER,24,DECEMBER,1847,,,SYNTHETIC DATA PRODUCED USING VALIPOP,,3136,2978,2977,,776,2977,2978,,984,,,
3164,805,805,Janet,de Boer,29,NOVEMBER,1860,"1 Nelson Place, Dumfries and Galloway",F,Hugh,de Boer,PAUPER,Irem,Micallef,DRESS MAKER,15,FEBRUARY,1860,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3164,3164,2346,2641,3164,805,2641,2346,,,,,
3170,767,767,Barbara,Larsson,27,MAY,1860,"32 Gordon Brown Place, Highland",F,Kenneth,Larsson,BOOT MAKER,Emily,Rivera,DOMESTIC SERVANT,29,DECEMBER,1849,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3170,3170,2310,1925,3170,767,1925,2310,,,,,
3166,717,717,Agnes,Soto,26,OCTOBER,1860,"1 Weensmoore, Scottish Borders",F,Tyler,Soto,SUB AGENT,Elizabeth,Fernandez,COTTON BLEACHER,25,JANUARY,1844,"Weensmoore Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3166,3166,2202,2491,3166,717,2491,2202,1043,,,,
3174,791,791,Christina,Jones,24,JUNE,1860,"2 Heugh, Scottish Borders",F,Pablo,Jones,COAL MINER,Bridget,White,DOM SERV,15,JULY,1851,"Heugh Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3174,3174,2410,2864,3174,791,2864,2410,,1120,,,
3162,785,785,Jeannie,Mohamed,25,JANUARY,1860,"1 Maconochie Place, Broadsea, Fraserburgh",F,Michael,Mohamed, ,Sophie,Karlsson, ,6,OCTOBER,1843,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3162,3162,3007,3006,3162,785,3006,3007,1044,,,,
3168,748,748,Margaret,Soto,17,NOVEMBER,1860,"1 Whinnyhouse, Scottish Borders",F,Daniel,Soto,BLACKSMITH,Maggie,Sanchez, ,24,AUGUST,1846,"Whinnyhouse Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3168,3168,2256,2493,3168,748,2493,2256,1042,,,,
3172,797,797,Martha,Rivera,9,FEBRUARY,1860,"38 Raonmor, Highland",F,John,Rivera,LABOURER,Mia,Rodriguez,POWER LOOM WEAVER,4,JANUARY,1853,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3172,3172,2702,2259,3172,797,2259,2702,1035,,,,
3176,832,832,Ann,CONLLY,1,MAY,1860,"1 Springs Park, South Ayrshire",F,John,CONLLY,LABOURER,Sara,Jones, ,31,MARCH,1857,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3176,3176,2861,2511,3176,832,2511,2861,1099,,,,
3191,707,707,Margaret,de Boer,8,APRIL,1861,"1 Station Terrace, Scotstoun, Kirkliston",F,John,de Boer,FARMER OF 178 ACRES EMPLOYING 5 LABOURERS AND 2 BOYS,Ann,Thill, ,23,MARCH,1847,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3191,3191,1944,1863,3191,707,1863,1944,,,,,
3192,829,829,Helen,Virtanen,1,APRIL,1861,"2 Hope Street, Blackhouse, Peterhead",F,William,Virtanen,CATTLEMAN,Isabella,Markovic, ,11,APRIL,1857,"Blackhouse Peterhead ",,SYNTHETIC DATA PRODUCED USING VALIPOP,3192,3192,1946,2614,3192,829,2614,1946,,,,,
3194,693,693,Mary,Li,26,JUNE,1861,"1 Balgowan Drive, Downfield, Dundee City",F,Mustafa,Li,ROAD INSPECTOR,Katharina,Gonzalez, ,8,SEPTEMBER,1837,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3194,3194,2679,2678,3194,693,2678,2679,,,,,
3196,742,742,Eliza,Guo,4,JANUARY,1861,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",F,James,Guo,JOBBING GARDENER,Isabella,Fernandez,MUSLIN SEWER,1,AUGUST,1846,"Nether Kirkton Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,3196,3196,2180,2606,3196,742,2606,2180,,,,,
3198,733,733,Catherine,Larsson,25,SEPTEMBER,1861,"1 Bracklinn Road, Drumardoch Farm, Callander",F,William,Larsson,COAL MINER,Jane,Markovic, ,2,OCTOBER,1846,"Drumardoch Farm Callander ",,SYNTHETIC DATA PRODUCED USING VALIPOP,3198,3198,2230,1905,3198,733,1905,2230,,,,,
3200,767,767,Hild,Larsson,17,MAY,1861,"32 Gordon Brown Place, Highland",F,Kenneth,Larsson,BOOT MAKER,Emily,Rivera,NURSE,29,DECEMBER,1849,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3200,3200,2310,1925,3200,767,1925,2310,,,,,
3202,797,797,Maggie,Rivera,21,DECEMBER,1861,"38 Raonmor, Highland",F,John,Rivera,LABOURER,Mia,Rodriguez,POWER LOOM WEAVER,4,JANUARY,1853,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3202,3202,2702,2259,3202,797,2259,2702,,,,,
3206,840,840,Lizzie,Brown,13,DECEMBER,1861,"1 Geisher Road, Braeleny Farm, Stirling",F,Harry,Brown,SERVANT,Jane,Hernandez,DOMESTIC SERVANT,27,JULY,1861,"Braeleny Farm Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,3206,3206,2534,2463,3206,840,2463,2534,1067,,,,
3204,807,807,Mary,Wozniak,28,SEPTEMBER,1861,"1 School Lane, Balbinny, Angus",F,Duncan,Wozniak,GENERAL SRV,Kate,Garcia,HOUSE KEEPER,3,JULY,1854,"Balbinny Angus",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3204,2416,2439,,807,2439,2416,1092,,,,
3219,707,707,Elizabeth,de Boer,12,APRIL,1862,"1 Station Terrace, Scotstoun, Kirkliston",F,John,de Boer,FARMER OF 178 ACRES EMPLOYING 5 LABOURERS AND 2 BOYS,Ann,Thill, ,23,MARCH,1847,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3219,3219,1944,1863,3219,707,1863,1944,,,,,
3220,829,829,Jane,Virtanen,18,JUNE,1862,"2 Hope Street, Blackhouse, Peterhead",F,William,Virtanen,CATTLEMAN,Isabella,Markovic, ,11,APRIL,1857,"Blackhouse Peterhead ",,SYNTHETIC DATA PRODUCED USING VALIPOP,3220,3220,1946,2614,3220,829,2614,1946,,,,,
3222,805,805,William,de Boer,4,SEPTEMBER,1862,"1 Nelson Place, Dumfries and Galloway",F,Hugh,de Boer,SHOEMAKER,Irem,Micallef,DRESS MAKER,15,FEBRUARY,1860,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3222,3222,2346,2641,3222,805,2641,2346,,,,,
3224,717,717,Jane,Soto,23,JULY,1862,"1 Weensmoore, Scottish Borders",F,Tyler,Soto,SUB AGENT,Elizabeth,Fernandez,COTTON BLEACHER,25,JANUARY,1844,"Weensmoore Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3224,3224,2202,2491,3224,717,2491,2202,,,,,
3226,776,776,Marjory,Greco,8,SEPTEMBER,1862,"1 Martin Terrace, Aberdeenshire",F,Jeffrey,Greco,MASONS LABOURER,Isabella,Molnar,COTTON REELER,24,DECEMBER,1847,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3226,3226,2978,2977,3226,776,2977,2978,,,,,
3228,806,806,Catherine,Maisuradze,9,AUGUST,1862,"1 Napierston Road, West Dunbartonshire",F,Julen,Maisuradze,COTTON FINISHER,Bella,Harutyunyan, ,6,FEBRUARY,1856,"West Dunbartonshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3228,3228,2338,2807,3228,806,2807,2338,,,,,
3230,814,814,Christina,WILLIAMS,4,OCTOBER,1862,"2 Union Street, Scottish Borders",F,George,WILLIAMS,COTTAR,Marie,Brown,FARM SERVANT,9,JUNE,1857,"Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3230,3230,2464,2127,3230,814,2127,2464,,,,,
3236,847,847,Maggie,Sanchez,31,MARCH,1862,"1 Glenshalloch Road, Little Richorn, Dalbeattie",F,James,Sanchez,PLOUGHMAN,Margaret,Rivera,GROCER'S SHOP WOMAN,17,JUNE,1859,"Little Richorn Dalbeattie ",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3236,2444,2387,,847,2387,2444,,,,,
3240,808,808,Annie,Prochazka,16,OCTOBER,1862,"1 Ritchie Place, Aberdeenshire",F,Peter,Prochazka,POTTER,Siiri,Shevchuk,DOMESTIC SERV,17,AUGUST,1855,"Aberdeenshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3240,3240,2526,2129,3240,808,2129,2526,,,,,
3242,850,850,Georgina,Li,15,JUNE,1862,"1 Bail Ur, Highland",F,Matteo,Li,FLAGSTONE QUARRYMAN,Minnie,DAVISON,COTTON MILL WEAVER,30,APRIL,1859,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3242,3242,2632,2680,3242,850,2680,2632,,,,,
3244,852,852,Mary,Sanchez,13,JUNE,1862,"2 Jean Lawrie Court, Lessudden House, Scottish Borders",F,Adam,Sanchez,SCHOLAR,Catherine,Williams, ,26,MARCH,1862,"Lessudden House Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,3244,3244,2636,2730,3244,852,2730,2636,,,,,
3232,789,789,Jessie,Flores,11,DECEMBER,1862,"1 Garnock Street, Dalry, North Ayrshire",F,Isaac,Flores,CARPENTER,Georgina,CONLLY,DOMESTIC SERVANT,11,OCTOBER,1851,"Dalry North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3232,3232,2414,2754,3232,789,2754,2414,,,,,
3238,849,849,Mary,Hernandez,31,JULY,1862,"1 Earlsmeadow, St Mary's, Duns",F,Filip,Hernandez,QUAY LABOURER,Aada,Morozov, ,31,JULY,1860,"St Mary's Duns ",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3238,3158,2313,,849,2313,3158,1122,,,,
3234,790,790,Elizabeth,Anderson,30,SEPTEMBER,1862,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",F,Benjamin,Anderson,SCHOOLMASTER,Margaret,Rivera,DAIRY MAID,21,MARCH,1853,"Kincorth Aberdeen City",,SYNTHETIC DATA PRODUCED USING VALIPOP,3234,3234,2412,2915,3234,790,2915,2412,,1184,,,
3256,785,785,Isabella,Mohamed,14,JANUARY,1863,"1 Maconochie Place, Broadsea, Fraserburgh",F,Michael,Mohamed,FURNACE FILLER (IRONWKS),Sophie,Karlsson, ,6,OCTOBER,1843,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3256,3256,3007,3006,3256,785,3006,3007,,,,,
3258,766,766,Mary,Larsen,30,DECEMBER,1863,"1 Skua Drive, Dalgety Bay, Fife",F,Robert,Larsen,LABOURER,Agnes,Bolkvadze,MILLINER,10,JUNE,1849,"Dalgety Bay Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3258,2234,2121,,766,2121,2234,,,,,
3260,795,795,Jane,STEWART,1,JANUARY,1863,"1 Pairc Uilleim, Highland",F,John,STEWART,HAND LOOM WEAVER (WOOL),Olivia,Brown, ,14,AUGUST,1853,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3260,3260,2465,2281,3260,795,2281,2465,,,,,
3262,782,782,Eliza,Fernandez,18,NOVEMBER,1863,"1 Darley Place, Troon, South Ayrshire",F,James,Fernandez,PLOUGHMAN,Guorun,Jones,HOUSEMAID,5,JULY,1852,"Troon South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3262,3262,2865,2211,3262,782,2211,2865,,,,,
3270,851,851,Fanny,Smith,11,JULY,1863,"1 Kinnaird Street, Cairnie, Angus",F,David,Smith,SNUFF BOX MAKER,Marta,Petrauskas, ,24,NOVEMBER,1859,"Cairnie Angus",,SYNTHETIC DATA PRODUCED USING VALIPOP,,3270,3212,2415,,851,2415,3212,,,,,
3264,815,815,Agnes,Garcia,21,JANUARY,1863,"1 Knockcushan Street, Girvan, South Ayrshire",F,Duncan,Garcia,CLERK AP WRITERS OFFICE,Catherine,Szabo,FRENCH POLISHER,15,APRIL,1856,"Girvan South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3264,3264,2480,2513,3264,815,2513,2480,1045,,,,
3268,850,850,Jane,Li,4,APRIL,1863,"1 Bail Ur, Highland",F,Matteo,Li,FLAGSTONE QUARRYMAN,Minnie,DAVISON,COTTON MILL WEAVER,30,APRIL,1859,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3268,3268,2632,2680,3268,850,2680,2632,,1154,,,
3266,840,840,Mathilda,Brown,18,APRIL,1863,"1 Geisher Road, Braeleny Farm, Stirling",F,Harry,Brown,SERVANT,Jane,Hernandez,DOMESTIC SERVANT,27,JULY,1861,"Braeleny Farm Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,3266,3266,2534,2463,3266,840,2463,2534,,,1153,,
3288,756,756,Jessie,Harutyunyan,28,DECEMBER,1864,"1591 Castle Road, South Ayrshire",F,Adam,Harutyunyan,PLOUGHMAN,Thea,Larsson, ,3,AUGUST,1848,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,3288,3288,2810,2257,3288,756,2257,2810,,,,,
3290,788,788,Helen,Rossi,21,MARCH,1864,"1 Forestry Houses, Highland",F,David,Rossi,SURVEYOR STAMPS & TAXES INLAND REVENUE,Sophie,Rojas, ,13,DECEMBER,1853,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,3290,3290,2654,2125,3290,788,2125,2654,,,,,
