ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
2085,27,DECEMBER,1972,"Hillpark Bannockburn ",Conor,Vuennaa, ,B,17,"1 Kinghorne Road, Law, Dundee City",Jane,Harris,SCHOLAR,S,18,"2 Torrie Wyne, Fife",Jeremy,Vuennaa, ,,Fatma,,,Angus,Harris,QUARRY LABOURER,,Agnes,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,6957,6282,6957,6282,6956,6955,5378,5267,6957,6282,6955,6956,5267,5378
2087,16,FEBRUARY,1972,"North Ayrshire",David,Andersson,SCHOLAR,B,16,"1 Janefield Court, Allanbank, Lauder",Jane,Grigoryan,SCHOLAR,S,17,"1 Woodland Park, Highland",Ren,Andersson,FARM LABOURER,,Jane,Markovic,,Thomas,Grigoryan,SHOEMAKER,,Marion,Mohamed,,SYNTHETIC DATA PRODUCED USING VALIPOP,6509,6422,6509,6422,5328,5837,5248,4977,6509,6422,5837,5328,4977,5248
2088,2,MARCH,1972,"Kilwinning North Ayrshire",Archibald,Schroeder,LETTER PRESS PRINTER,B,21,"572 Moss Road, Scottish Borders",Margaret,Martinez, ,S,17,"3 The Old Creamery, Netherurd House, Scottish Borders",Andrew,Schroeder,GUTTA PERCHA SHOEMAKER,,Mary,Szabo,,Daniel,Martinez,FARMER OF 100 ACRES,,Agnes,de Boer,,SYNTHETIC DATA PRODUCED USING VALIPOP,6279,6424,6279,6424,5332,5221,5304,5473,6279,6424,5221,5332,5473,5304
2090,18,MARCH,1972,"Drumbeg Stirling",Joona,Sato,AG LAB,B,18,"1 Bowhouse, Falkirk",Isabella,Soto,SCHOLAR,S,16,"6 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Michael,Sato, ,,Mia,Perez,,James,Soto,GARDEN LABOURER,,Janet,Kovacevic,,SYNTHETIC DATA PRODUCED USING VALIPOP,6574,6504,6574,6504,6573,6572,5290,4901,6574,6504,6572,6573,4901,5290
2091,30,MAY,1972,"Lessudden House Scottish Borders",Gergo,Schmid,PLOUGHMAN,B,21,"1 Ralston Court, Crookston, Glasgow City",Sarah,Szabo,SCHOLAR,S,16,"4 Milton Wynd, South Ayrshire",Jan,Schmid, ,,Anni,Shala,,John,Szabo,MASTER SHOEMAKER (EMPL 5 MEN),,Mary,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,7074,6526,7074,6526,7071,7070,5680,5423,7074,6526,7070,7071,5423,5680
2092,13,DECEMBER,1972,"Kingsmuir Peebles ",William,Watanabe,LABOURER,B,24,"1 Hartrigge Road, Scaurs, Jedburgh",Jane,Rossi,MASON'S DAUR,S,16,"2 Braidley Crescent, Whitehills, East Kilbride",Alexander,Watanabe,COALMINER,,Joan,Anderson,,Samuel,Rossi,PROVISON DEALER,,Laura,Memmedov,,SYNTHETIC DATA PRODUCED USING VALIPOP,6199,6520,6199,6520,5180,5149,5766,6066,6199,6520,5149,5180,6066,5766
2098,24,AUGUST,1973,"Drumcaldie Fife",Daniel,Iliev,PLOUGHMAN,B,24,"2 Stewart Cottages, Aberdeenshire",Mary,Spiteri,COTTON WINDER,S,27,"1 Waverley Crescent, Falkirk",Joseph,Iliev,RAILWAY PORTER,,Margaret,Dumitru,,Luke,Spiteri,CARTER,,Elizabeth,Wozniak,,SYNTHETIC DATA PRODUCED USING VALIPOP,6131,6012,6131,6012,5392,5453,5142,5870,6131,6012,5453,5392,5870,5142
2099,2,DECEMBER,1973,"Riccarton Kilmarnock ",Alexander,Martinez,IRONSTONE MINER,B,28,"1 Lauderdale Drive, Allanbank, Lauder",Isabella,Rossi,DRESSMAKER'S APPRENTICE,S,27,"1593 Castle Road, South Ayrshire",Benjamin,Martinez,ROAD CONTRACTOR,,Maggie,Pena,,Alexr,Rossi,COTTON WEAVER,,Elizabeth,Anderson,,SYNTHETIC DATA PRODUCED USING VALIPOP,5935,6010,5935,6010,5094,5478,5148,5015,5935,6010,5478,5094,5015,5148
2101,14,DECEMBER,1973,"Braeleny Farm Callander ",Francis,Petrov,SALES MAN & LETTER CARRIER,B,26,"5 Common Road, Cellardyke, Fife",Leire,Robinson,COTTON FACTORY WORKER,S,23,"1 Arthur Road, Seedhill, Paisley",Vojtech,Petrov,COUNTRY LABOURER,,Jane,Prochazka,,Oliver,Robinson,GENERAL MERCHANT,,Isabella,Hadzic,,SYNTHETIC DATA PRODUCED USING VALIPOP,6035,6895,6035,6895,4942,5954,6892,6891,6035,6895,5954,4942,6891,6892
2102,14,FEBRUARY,1973,"Grubbit Mill Scottish Borders",James,Wozniak,ENGINEER GENERAL MECHANICS LAND ENGINEER,B,20,"1 Coyle Crescent, East Ayrshire",Margrate,Williams,DOMESTIC SERVANT,S,21,"1 Annickbank, Stewarton, East Ayrshire",George,Wozniak,LINEN WEAVER,,Maggie,Kovacevic,,James,Williams,PLASTERER (JOUR),,Mary,Dumitru,,SYNTHETIC DATA PRODUCED USING VALIPOP,6239,6248,6239,6248,5346,5389,5500,5010,6239,6248,5389,5346,5010,5500
2104,8,NOVEMBER,1973,"Maybole South Ayrshire",John,Prochazka,DRAPER,B,26,"1 Cearcall Dhunmhor, Na h-Eileanan Siar",Penelepy,Babic, ,S,20,"3 Braehouse, Scottish Borders",John,Prochazka,COTTON WEAVER,,Grace,Andersson,,Mustafa,Babic,CARPENTER,,Terresa,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,6049,6310,6049,6310,5298,5209,5286,5658,6049,6310,5209,5298,5658,5286
803,5,JANUARY,1857,"Heugh Scottish Borders",Wm,Bolkvadze,SCH,B,18,"2 Milton Wynd, South Ayrshire",Euphemia,WILLIAMS, ,S,38,"631 Manse Road, North Ayrshire",James,Bolkvadze,LABOURER,,Elizabeth,WILLIAMS,,Alexander,WILLIAMS,AG LABOURER,,Nicole,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,2502,1962,2502,1962,1618,1699,1516,1211,2502,1962,1699,1618,1211,1516
805,9,DECEMBER,1857,,Hugh,de Boer,PAUPER,B,18,"1 Nelson Place, Dumfries and Galloway",Irem,Micallef,DRESS MAKER,S,35,"1 Nelson Place, Dumfries and Galloway",Alexander,de Boer,SAILOR,,Elizabeth,Garcia,,Ethan,Micallef,COOPER,,Samantha,Popescu,,SYNTHETIC DATA PRODUCED USING VALIPOP,2641,2346,2641,2346,1908,1793,2345,2344,2641,2346,1793,1908,2344,2345
806,22,NOVEMBER,1857,"West Dunbartonshire",Julen,Maisuradze,COTTON FINISHER,B,22,"1 Carlyle Terrace, North Bishopbrae, Bathgate",Bella,Harutyunyan,CARPENTER DAUR,S,24,"1 Ashwell Place, Scottish Borders",Joshua,Maisuradze, ,,Kristyna,,,John,Harutyunyan,LABOURER,,Elisabeth,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2807,2338,2807,2338,2806,2805,1718,1813,2807,2338,2805,2806,1813,1718
808,10,DECEMBER,1857,"Aberdeenshire",Peter,Prochazka,POTTER,B,32,"42 Ard Struan Road, Highland",Siiri,Shevchuk, ,S,19,"1 Lundavra Crescent, Upper Achintore, Fort William",Patrick,Prochazka,JOURNEYMAN MASON,,Elspet,DAVISON,,James,Shevchuk,COAL MINER,,Maja,Popa,,SYNTHETIC DATA PRODUCED USING VALIPOP,2129,2526,2129,2526,1580,1555,2525,2524,2129,2526,1555,1580,2524,2525
809,22,APRIL,1857,,John,Sanchez,SCHOLAR,B,16,"237 The Paddock, East Lothian",Jane,Hernandez,SCHOLAR,S,20,"237 The Paddock, East Lothian",William,Sanchez,FLESHER,,Mary,Fernandez,,Rasmus,Hernandez,MECHANIC (DISTILLERY),,Catarina,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,2633,2534,2633,2534,1620,1619,2312,2311,2633,2534,1619,1620,2311,2312
812,4,MARCH,1858,"Dumfries and Galloway",Isak,Paulauskas,COAL MINER,B,24,"61 Wester Common Road, Hamiltonhill, Glasgow City",Mary,Rivera,DOMESTIC SERVANT,S,28,"2 Millfield Road, Dumfries and Galloway",Benjamin,Paulauskas, ,,Sophie,Perez,,Ethan,Rivera,OSTLER,,Christina,GOODWIN,,SYNTHETIC DATA PRODUCED USING VALIPOP,2371,2232,2371,2232,2370,2369,1600,1634,2371,2232,2369,2370,1634,1600
813,3,JULY,1858,"Southfield Scottish Borders",Samuel,Jones,COAL MINER,B,24,"1 Whistleberry Wynd, Whitehill, Bothwell",Alice,Rivera,TENANT'S DAUGHTER,S,25,"1 Oliver Wynd, Kirkton, Angus",Piotr,Jones, ,,Sara,Mayer,,Ryan,Rivera,AG LAB,,Ann,Bolkvadze,,SYNTHETIC DATA PRODUCED USING VALIPOP,2863,2308,2863,2308,2858,2857,1602,1633,2863,2308,2857,2858,1633,1602
814,4,SEPTEMBER,1858,"Scottish Borders",George,WILLIAMS,COTTAR,B,33,"2183 Main Street, South Ayrshire",Marie,Brown, ,W,25,"1 Golf Course Road, Girvan, South Ayrshire",John,WILLIAMS,GROCER EMPLG 2 F & 1 M SERTS,,Annie,Popa,,Sergio,Brown,FISHERMAN,,Mia,Bonik,,SYNTHETIC DATA PRODUCED USING VALIPOP,2127,2464,2127,2464,1508,1441,2462,2461,2127,2464,1441,1508,2461,2462
815,16,DECEMBER,1858,"Girvan South Ayrshire",Duncan,Garcia,SCHOLAR,B,18,"571 Moss Road, Scottish Borders",Catherine,Szabo,SCHOLAR,S,19,"734 Golf Course Road, Girvan, South Ayrshire",Richard,Garcia,COAL MINER,,Catherine,Mertens,,Tyler,Szabo,PAP MILL ENGINE RAG WASHER,,Elizabeth,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2513,2480,2513,2480,1900,1865,1902,2240,2513,2480,1865,1900,2240,1902
822,3,MARCH,1859,"Little Richorn Dalbeattie ",David,Rivera,LABOURER,B,25,"2 Millfield Road, Dumfries and Galloway",Ana,Novak,FARMERS DAUR,S,21,"1 Muir Road, Welltree, Fife",Ethan,Rivera,OSTLER,,Christina,GOODWIN,,Tim,Novak,LINNEN WEAVER,,Regina,Chin,,SYNTHETIC DATA PRODUCED USING VALIPOP,2283,2552,2283,2552,1600,1634,2551,2550,2283,2552,1634,1600,2550,2551
823,29,AUGUST,1859,"Gretna Dumfries and Galloway",Nojus,Bonik, ,B,20,"1 Kilndale Terrace, Kirkcudbright, Dumfries and Galloway",Janet,Rivera, ,S,17,"2 Millfield Road, Dumfries and Galloway",Lucas,Bonik, ,,Eszter,,,Ethan,Rivera,OSTLER,,Christina,GOODWIN,,SYNTHETIC DATA PRODUCED USING VALIPOP,2976,2536,2976,2536,2975,2974,1600,1634,2976,2536,2974,2975,1634,1600
824,11,MAY,1859,"South Ayrshire",Samuel,Jones,COAL MINER,W,27,"1 Southfield, Scottish Borders",Kate,Bolkvadze,POWER LOOM WEAVER,S,20,"2 Milton Wynd, South Ayrshire",Piotr,Jones,MASTER OF DREDGING MACHINE,,Sara,Mayer,,James,Bolkvadze,LABOURER,,Elizabeth,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2863,2538,2863,2538,2858,2857,1618,1699,2863,2538,2857,2858,1699,1618
825,14,APRIL,1859,,Thomas,Rojas,ROPE SPINNER,B,28,"87 Riverside Park, Highland",Janet,Markovic,COTTON WEAVER,S,22,"87 Riverside Park, Highland",Daniel,Rojas,CHARTERED ACCOUNTANT & MEMBER OF THE GLASGOW STOCK EXCHANGE,,Siiri,Gospodinov,,Donald,Markovic,CL AT LEAD MINER & REGISTRAR OF BIRTH,,Alice,Larsen,,SYNTHETIC DATA PRODUCED USING VALIPOP,2650,2698,2650,2698,2647,2646,2072,2021,2650,2698,2646,2647,2021,2072
829,19,JANUARY,1860,"Blackhouse Peterhead ",William,Virtanen,COMMERCIAL CLERK,W,37,"2 Cille Bha 'Nain, Buailledubh, Na h-Eileanan Siar",Isabella,Markovic, ,W,40,"1 The Old Creamery, Netherurd House, Scottish Borders",Matthew,Virtanen, ,,Emily,Kiss,,Matthew,Markovic,SHOEMAKER (EMPLOYING 1 MAN),,Jean,GOODWIN,,SYNTHETIC DATA PRODUCED USING VALIPOP,2614,1946,2614,1946,2611,2610,1438,1512,2614,1946,2610,2611,1512,1438
830,25,JANUARY,1860,"Drumardoch Farm Callander ",Dovydas,Flores,(JOUR) DRUGGIST,B,24,"1 Altyre Avenue, Pitteuchar, Glenrothes",Margaret,Delic,DRESSMAKER,D,34,"121 Kirkhill, Dumfries and Galloway",Tyler,Flores,CROFTER,,Nahia,Dang,,Donald,Delic,PLOUGHMAN,,Ann,Popa,,SYNTHETIC DATA PRODUCED USING VALIPOP,2753,2078,2753,2078,2748,2747,1554,1489,2753,2078,2747,2748,1489,1554
831,19,JULY,1860,"Kirkfield Bothwell ",Ethan,Hernandez,LABOURER (DRAINER),B,30,"1 Nicol Place, Jessiehill Cottages, Broxburn",Mary,Fernandez,GENERAL SERVANT,S,28,"1 Duart Crescent, New Prestwick, Prestwick",Rasmus,Hernandez,MECHANIC (DISTILLERY),,Catarina,Rivera,,Alexander,Fernandez,CLOCK AT LINEN BLEACHFIELD,,Mary,CARRUTHERS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2314,2278,2314,2278,2312,2311,1446,1749,2314,2278,2311,2312,1749,1446
832,1,MAY,1860,"South Ayrshire",John,CONLLY,FARMER'S SON,B,19,"1 Grubbit Mill, Scottish Borders",Sara,Jones,SCHOLAR,S,17,"1 Whistleberry Wynd, Whitehill, Bothwell",James,CONLLY,COAL CARTER,,Nellie,Ilves,,Piotr,Jones,MASTER OF DREDGING MACHINE,,Sara,Mayer,,SYNTHETIC DATA PRODUCED USING VALIPOP,2511,2861,2511,2861,1844,1209,2858,2857,2511,2861,1209,1844,2857,2858
833,15,FEBRUARY,1860,"Auchreoch Stirling",Robert,Schroeder,COMMERCIAL CLERK,B,20,"1 Wingate Avenue, Dalry, North Ayrshire",Nanny,Novak, ,S,18,"1 Muir Road, Welltree, Fife",John,Schroeder,PLASTERER,,Marjory,Martinez,,Tim,Novak,LINNEN WEAVER,,Regina,Chin,,SYNTHETIC DATA PRODUCED USING VALIPOP,2515,2576,2515,2576,1910,1533,2551,2550,2515,2576,1533,1910,2550,2551
839,3,JUNE,1861,"South Ayrshire",Michael,Brankov,LABOURER,B,38,"52 Hazel Road, Abronhill, North Lanarkshire",Catherine,White,MUSLIN BLEACHER,S,27,"1 Ashwell Place, Scottish Borders",Arnas,Brankov,AGR LAB,,Ella,Jarvinen,,Jose,White,FARMER OF 4 ACRES,,Catherine,Bianchi,,SYNTHETIC DATA PRODUCED USING VALIPOP,2215,2336,2215,2336,2213,2212,1696,2266,2215,2336,2212,2213,2266,1696
840,13,DECEMBER,1861,"Braeleny Farm Stirling",Harry,Brown,SERVANT,B,27,"82 Catelbock Close, Scotstoun, Kirkliston",Jane,Hernandez,DOMESTIC SERVANT,W,23,"237 The Paddock, East Lothian",Sergio,Brown,FISHERMAN,,Mia,Bonik,,Rasmus,Hernandez,MECHANIC (DISTILLERY),,Catarina,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,2463,2534,2463,2534,2462,2461,2312,2311,2463,2534,2461,2462,2311,2312
841,14,MAY,1861,"Stranraer Dumfries and Galloway",Tomas,Szabo,JOINER,W,39,"1 Langlands Bank, Wilton, Hawick",Ann,Larsson,SCHOLAR,S,18,"1 Douglas Gardens, Annan, Dumfries and Galloway",Nicholas,Szabo,WOOLLEN WEAVER,,Irem,Mulder,,Daniel,Larsson,A B SEAMAN,,Jane,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2238,2602,2238,2602,2237,2236,1942,1799,2238,2602,2236,2237,1799,1942
845,6,NOVEMBER,1862,"Braeleny Farm Callander ",Alexander,Fernandez,APPRENTICE GARDENER,B,22,"2 Wooden, Scottish Borders",Isa,WILLIAMS,GENL SERVT,S,29,"1 Berry Place, Northbank Farm Steadings, Fife",Alexander,Fernandez,TAILOR,,Ann,Schroeder,,John,WILLIAMS,FARMER'S SON,,Eliza,Abdullayev,,SYNTHETIC DATA PRODUCED USING VALIPOP,2501,2342,2501,2342,1626,1443,1876,1817,2501,2342,1443,1626,1817,1876
